geneId	Chrom	Start	End	cluster_1	annotation	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000000031	chr7	142575529	142578146	cluster_5	Promoter (<=1kb)	764.6580394	-0.910788686	0.249952553	2.23555E-05	0.000244052	H19
ENSMUSG00000000049	chr11	108395296	108414396	cluster_5	Promoter (<=1kb)	24.48412145	0.050976493	0.291956001	0.707138088	0.827100109	Apoh
ENSMUSG00000000058	chr6	17281184	17282684	cluster_5	Promoter (<=1kb)	3295.468212	-0.205592446	0.102894267	0.035919444	0.106090588	Cav2
ENSMUSG00000000094	chr11	85890062	85916097	cluster_5	Promoter (<=1kb)	14.84654916	-0.217310015	0.420600221	0.045809128	0.127360191	Tbx4
ENSMUSG00000000125	chr11	103774174	103818021	cluster_5	Promoter (<=1kb)	93.71291957	-0.006638403	0.205514045	0.965799461	0.982062798	Wnt3
ENSMUSG00000000127	chr17	64049861	64050672	cluster_5	Intron (ENSMUST00000000129/ENSMUSG00000000127, intron 14 of 17)	1188.739575	-0.086608605	0.10114538	0.354896154	0.537003089	Fer
ENSMUSG00000000131	chr7	126224246	126237604	cluster_5	Distal Intergenic	3789.972791	-0.313888268	0.087080565	0.000188619	0.001493378	Xpo6
ENSMUSG00000000154	chr7	143473754	143499332	cluster_5	Promoter (<=1kb)	307.1679227	-0.006396307	0.179938451	0.964445742	0.981228835	Slc22a18
ENSMUSG00000000157	chr16	96422297	96443614	cluster_5	Promoter (<=1kb)	2.062078455	0.048265278	0.331956977	0.27637525	.	Itgb2l
ENSMUSG00000000159	chr16	96361756	96404030	cluster_5	Promoter (<=1kb)	2.445756219	0.005567803	0.317627193	0.946069749	.	Igsf5
ENSMUSG00000000182	chr6	127072901	127082296	cluster_5	Promoter (<=1kb)	9.744757855	0.137037214	0.331353669	0.305699915	0.487543644	Fgf23
ENSMUSG00000000204	chr11	83175185	83190216	cluster_5	Promoter (<=1kb)	11.61799642	-4.020197363	0.872996825	5.95845E-07	1.01716E-05	Slfn4
