Chrom	Start	End	X18_34859066_34862541	X450.421670016322	X0.554046623774626	X2.50388912727981e.06	X0.00303771828921587	ENSMUSG00000038418.7	Egr1	promoter.TSS	ENSMUSG00000038418.7.1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr14	25456876	25462375	14_25456876_25462375	461.536916686966	0.557527893183674	7.45566425276788e-06	0.00695785528573691	ENSMUSG00000007817.15	Zmiz1	promoter-TSS	ENSMUSG00000114709.1	Promoter (<=1kb)	14	25459185	25538492	79308	1	ENSMUST00000161766	0	ENSMUSG00000007817	ENSMUSG00000007817
chr14	25456876	25462375	14_25456876_25462375	461.536916686966	0.557527893183674	7.45566425276788e-06	0.00695785528573691	ENSMUSG00000087535.2	Zmiz1os1	promoter-TSS	ENSMUSG00000114709.1	Promoter (<=1kb)	14	25459185	25538492	79308	1	ENSMUST00000161766	0	ENSMUSG00000007817	ENSMUSG00000007817
chr14	25456876	25462375	14_25456876_25462375	461.536916686966	0.557527893183674	7.45566425276788e-06	0.00695785528573691	ENSMUSG00000114709.1	RP24-573N21.4	promoter-TSS	ENSMUSG00000114709.1	Promoter (<=1kb)	14	25459185	25538492	79308	1	ENSMUST00000161766	0	ENSMUSG00000007817	ENSMUSG00000007817
chr8	83898287	83902709	8_83898287_83902709	457.199191201182	0.406145165527004	0.00020898722707164	0.0429734413361548	ENSMUSG00000096943.1	Gm26721	promoter-TSS	ENSMUSG00000013033.16	Promoter (<=1kb)	8	83900105	83941954	41850	1	ENSMUST00000141158	0	ENSMUSG00000013033	ENSMUSG00000013033
chr8	83898287	83902709	8_83898287_83902709	457.199191201182	0.406145165527004	0.00020898722707164	0.0429734413361548	ENSMUSG00000013033.16	Adgrl1	promoter-TSS	ENSMUSG00000013033.16	Promoter (<=1kb)	8	83900105	83941954	41850	1	ENSMUST00000141158	0	ENSMUSG00000013033	ENSMUSG00000013033
chr17	34602479	34607580	17_34602479_34607580	572.232868183928	0.449059259232145	1.51654175354862e-05	0.00971619895635919	ENSMUSG00000015478.13	Rnf5	promoter-TSS	ENSMUSG00000034254.17	Promoter (<=1kb)	17	34601091	34603690	2600	2	ENSMUST00000015622	0	ENSMUSG00000015478	ENSMUSG00000015478
chr17	34602479	34607580	17_34602479_34607580	572.232868183928	0.449059259232145	1.51654175354862e-05	0.00971619895635919	ENSMUSG00000034254.17	Agpat1	promoter-TSS	ENSMUSG00000034254.17	Promoter (<=1kb)	17	34601091	34603690	2600	2	ENSMUST00000015622	0	ENSMUSG00000015478	ENSMUSG00000015478
chr11	62549872	62554445	11_62549872_62554445	486.496054467927	0.443961192304511	4.0156412781404e-05	0.0192368427176374	ENSMUSG00000087120.1	RP23-234K24.5	exon	ENSMUSG00000019505.7	Promoter (<=1kb)	11	62551171	62553213	2043	1	ENSMUST00000019649	0	ENSMUSG00000019505	ENSMUSG00000019505
chr11	62549872	62554445	11_62549872_62554445	486.496054467927	0.443961192304511	4.0156412781404e-05	0.0192368427176374	ENSMUSG00000019505.7	Ubb	exon	ENSMUSG00000019505.7	Promoter (<=1kb)	11	62551171	62553213	2043	1	ENSMUST00000019649	0	ENSMUSG00000019505	ENSMUSG00000019505
chr3	114904262	114905640	3_114904262_114905640	82.9504003601367	0.990062579716351	0.000121998010517578	0.0319602900096445	ENSMUSG00000027965.15	Olfm3	intron	ENSMUSG00000027965.15	Promoter (<=1kb)	3	114904635	115120974	216340	1	ENSMUST00000149158	0	ENSMUSG00000027965	ENSMUSG00000027965
chr11	77981930	77985545	11_77981930_77985545	523.42725471045	0.390291703596412	0.000119174061038043	0.0319602900096445	ENSMUSG00000037791.15	Phf12	intron	ENSMUSG00000037791.15	Promoter (<=1kb)	11	77982754	78026214	43461	1	ENSMUST00000108360	0	ENSMUSG00000037791	ENSMUSG00000037791
chr2	118549089	118550069	2_118549089_118550069	118.97331073735	0.857778355136827	0.000111148606189203	0.0313594160531955	ENSMUSG00000040093.15	Bmf	promoter-TSS	ENSMUSG00000040093.15	Promoter (<=1kb)	2	118528757	118549687	20931	2	ENSMUST00000090219	0	ENSMUSG00000040093	ENSMUSG00000040093
chr15	80254170	80257638	15_80254170_80257638	451.405284291254	0.451336552763961	0.000150493397851833	0.0357997235831067	ENSMUSG00000042406.8	Atf4	exon	ENSMUSG00000042406.8	Promoter (<=1kb)	15	80255184	80257540	2357	1	ENSMUST00000109605	0	ENSMUSG00000042406	ENSMUSG00000042406
chr12	118854278	118855049	12_118854278_118855049	52.943971462553	1.31373694187087	9.32533239743786e-05	0.0285906762663651			Intergenic	Intergenic	Distal Intergenic	12	118846329	118852578	6250	1	ENSMUST00000063918	7950	ENSMUSG00000048562	ENSMUSG00000048562
chr19	61225300	61227923	19_61225300_61227923	422.229406266966	0.491753442584628	2.73932081496175e-05	0.014759707544938	ENSMUSG00000059326.6	Csf2ra	exon	ENSMUSG00000059326.6	Promoter (<=1kb)	19	61224402	61228418	4017	2	ENSMUST00000076046	495	ENSMUSG00000059326	ENSMUSG00000059326
chr11	69670251	69673275	11_69670251_69673275	464.126233433902	0.440361583356858	0.000123815828425098	0.0319602900096445	ENSMUSG00000059796.16	Eif4a1	promoter-TSS	ENSMUSG00000059796.16	Promoter (<=1kb)	11	69666936	69672317	5382	2	ENSMUST00000128519	0	ENSMUSG00000059796	ENSMUSG00000059796
chr11	69670251	69673275	11_69670251_69673275	464.126233433902	0.440361583356858	0.000123815828425098	0.0319602900096445	ENSMUSG00000005204.12	Senp3	promoter-TSS	ENSMUSG00000059796.16	Promoter (<=1kb)	11	69666936	69672317	5382	2	ENSMUST00000128519	0	ENSMUSG00000059796	ENSMUSG00000059796
chr15	98992714	98993410	15_98992714_98993410	82.2508238669749	1.05917999295162	0.000138370660039064	0.0335742569518785	ENSMUSG00000097587.2	RP23-77H12.1	exon	ENSMUSG00000097587.2	Distal Intergenic	15	99006056	99006370	315	1	ENSMUST00000079818	-12646	ENSMUSG00000064081	ENSMUSG00000064081
