Chrom	Start	End	X3_153568209_153572871	X119.842719313788	X.2.5453964683659103	X8.811523713474979e.13	X1.7349890191832198e.08	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr6	126994000	126994749	6_126994000_126994749	17.1682962439261	-2.7799002612137	0.00065944919692204	0.0392672486923387	Distal Intergenic	6	127015542	127024718	9177	1	ENSMUST00000000187	-20793	ENSMUSG00000000183	ENSMUSG00000000183
chr7	87459067	87461028	7_87459067_87461028	52.2395298257048	-2.26437063133506	5.6672225455838e-06	0.00165994491167074	Intron (ENSMUST00000004770/ENSMUSG00000004651, intron 3 of 4)	7	87427405	87493411	66007	2	ENSMUST00000004770	32383	ENSMUSG00000004651	ENSMUSG00000004651
chr12	34494758	34501256	12_34494758_34501256	270.941889662065	-0.791092481562312	4.76264451770454e-05	0.00762410329704085	Intron (ENSMUST00000110819/ENSMUSG00000004698, intron 2 of 11)	12	34371503	34528889	157387	2	ENSMUST00000110819	27633	ENSMUSG00000004698	ENSMUSG00000004698
chr12	34526646	34530146	12_34526646_34530146	140.923736083172	-0.969264466104475	0.000167570665371609	0.0171647301668387	Promoter (<=1kb)	12	34371503	34528889	157387	2	ENSMUST00000110819	0	ENSMUSG00000004698	ENSMUSG00000004698
chr2	90974362	90976463	2_90974362_90976463	65.0353414773977	-1.75516946951743	1.15674457998689e-05	0.00272682473790522	Intron (ENSMUST00000150546/ENSMUSG00000005506, intron 1 of 1)	2	90965092	90987816	22725	1	ENSMUST00000133657	9271	ENSMUSG00000005506	ENSMUSG00000005506
chr1	13441272	13443317	1_13441272_13443317	28.8841717997574	-2.18186166522332	0.000315248590112359	0.0255442170342072	Distal Intergenic	1	13164501	13374083	209583	2	ENSMUST00000147927	-67190	ENSMUSG00000005886	ENSMUSG00000005886
chr4	80787372	80790073	4_80787372_80790073	85.8880153447752	-1.5011566035144	1.1404001872274e-05	0.00272682473790522	Distal Intergenic	4	80834123	80837684	3562	1	ENSMUST00000133655	-44050	ENSMUSG00000005994	ENSMUSG00000005994
chr3	20274234	20276318	3_20274234_20276318	37.0541895150027	-1.77685799057976	0.000314721072069858	0.0255442170342072	Promoter (<=1kb)	3	20248264	20275733	27470	2	ENSMUST00000011607	0	ENSMUSG00000011463	ENSMUSG00000011463
chr10	14084258	14086357	10_14084258_14086357	94.0638961323277	-1.65708478100168	6.15070429435525e-07	0.000310531711681679	Intron (ENSMUST00000015645/ENSMUSG00000015501, intron 2 of 8)	10	13966379	14151376	184998	1	ENSMUST00000015645	117880	ENSMUSG00000015501	ENSMUSG00000015501
chr8	68907637	68909465	8_68907637_68909465	67.4364542889917	-1.20301324109662	0.000758623325553206	0.0420732494990373	Distal Intergenic	8	68890744	68895819	5076	1	ENSMUST00000169749	16894	ENSMUSG00000015568	ENSMUSG00000015568
chr8	68938963	68939729	8_68938963_68939729	37.5965476997811	-2.42618059575279	1.35044355918219e-05	0.00302161746367015	Distal Intergenic	8	68890744	68895819	5076	1	ENSMUST00000169749	48220	ENSMUSG00000015568	ENSMUSG00000015568
chr8	68879130	68882297	8_68879130_68882297	65.5850565672892	-1.47563640265994	0.00017725110301632	0.017990073290677	Promoter (<=1kb)	8	68880491	68906934	26444	1	ENSMUST00000015712	0	ENSMUSG00000015568	ENSMUSG00000015568
chr10	14796672	14798344	10_14796672_14798344	37.0517079815535	-2.06281926679737	0.000133572776025807	0.0150288454854179	Distal Intergenic	10	14760221	14770583	10363	1	ENSMUST00000020015	36452	ENSMUSG00000019865	ENSMUSG00000019865
chr10	58381985	58385323	10_58381985_58385323	197.291586932684	-0.773416243205691	0.000627270747346271	0.0384765140661934	Intron (ENSMUST00000020078/ENSMUSG00000019920, intron 1 of 9)	10	58394373	58421783	27411	1	ENSMUST00000020077	-9050	ENSMUSG00000019920	ENSMUSG00000019920
chr10	97491935	97493783	10_97491935_97493783	46.1236642371882	-1.62300000504011	0.000257959564712917	0.0231928028730472	Intron (ENSMUST00000105287/ENSMUSG00000019929, intron 2 of 7)	10	97482350	97518162	35813	1	ENSMUST00000163448	9586	ENSMUSG00000019929	ENSMUSG00000019929
chr10	117005031	117006102	10_117005031_117006102	28.1526843204719	-1.93843806964043	0.000565723504006859	0.0358170282761899	Intron (ENSMUST00000020378/ENSMUSG00000020169, intron 7 of 9)	10	116986314	117025040	38727	1	ENSMUST00000020378	18718	ENSMUSG00000020169	ENSMUSG00000020169
chr12	31640636	31643025	12_31640636_31643025	63.2330441062459	-2.38975840159035	5.82776508875358e-07	0.000301970248940942	Exon (ENSMUST00000020977/ENSMUSG00000020648, exon 1 of 7)	12	31595354	31634658	39305	2	ENSMUST00000177962	-5979	ENSMUSG00000020650	ENSMUSG00000020650
chr12	31578732	31581590	12_31578732_31581590	93.0289867635676	-1.03263712347139	0.000545394961054729	0.0350942051737503	Distal Intergenic	12	31519827	31559969	40143	2	ENSMUST00000001253	-18764	ENSMUSG00000020651	ENSMUSG00000020651
chr12	70117973	70120284	12_70117973_70120284	86.4629293471248	-1.45625880554022	1.41351673590999e-05	0.00309246050334087	Distal Intergenic	12	70018740	70111925	93186	2	ENSMUST00000021468	-6049	ENSMUSG00000021068	ENSMUSG00000021068
chr12	70108488	70112748	12_70108488_70112748	204.926183801837	-0.719067738325226	0.000954977185095574	0.0480907948197746	Promoter (<=1kb)	12	70018740	70111925	93186	2	ENSMUST00000021468	0	ENSMUSG00000021068	ENSMUSG00000021068
chr13	69074256	69075282	13_69074256_69075282	41.9851197505794	-1.98257045029962	0.000127842874170467	0.0145504404185925	Distal Intergenic	13	68620043	68999541	379499	2	ENSMUST00000022013	-74716	ENSMUSG00000021536	ENSMUSG00000021536
chr13	91290491	91292015	13_91290491_91292015	43.5190555757042	-2.02386035399202	3.34343071120735e-05	0.00582585404457281	Distal Intergenic	13	90935349	91223987	288639	2	ENSMUST00000022119	-66505	ENSMUSG00000021619	ENSMUSG00000021619
chr14	80070251	80072873	14_80070251_80072873	75.3212706259526	-1.44617495395813	4.18699865562028e-05	0.00698661046857317	Distal Intergenic	14	80000302	80021930	21629	1	ENSMUST00000088735	69950	ENSMUSG00000022026	ENSMUSG00000022026
chr15	37321451	37322525	15_37321451_37322525	30.0941876579852	-2.01553148198849	0.000321108093863061	0.0255976452152375	Intron (ENSMUST00000161405/ENSMUSG00000022286, intron 8 of 9)	15	37318403	37363562	45160	1	ENSMUST00000161933	3049	ENSMUSG00000022286	ENSMUSG00000022286
chr15	41611515	41612395	15_41611515_41612395	35.5681791471261	-1.83469382848994	0.000302320880096235	0.0254057873801518	Intron (ENSMUST00000090096/ENSMUSG00000022307, intron 2 of 15)	15	41449027	41861045	412019	1	ENSMUST00000179393	162489	ENSMUSG00000022307	ENSMUSG00000022307
chr16	46725460	46727506	16_46725460_46727506	39.2000810436724	-2.47620834195274	8.93771871771849e-06	0.00234496997719377	Distal Intergenic	16	46458852	46498525	39674	2	ENSMUST00000133935	-226936	ENSMUSG00000022656	ENSMUSG00000022656
chr16	46491348	46498837	16_46491348_46498837	276.148965881875	-1.08005144177071	4.48762008704189e-07	0.000259885998570161	Promoter (<=1kb)	16	46387706	46496967	109262	2	ENSMUST00000023335	0	ENSMUSG00000022656	ENSMUSG00000022656
chr16	22673986	22675447	16_22673986_22675447	50.1937551107394	-1.61965638579092	0.000285679315839393	0.0245634311304701	Distal Intergenic	16	22469222	22657221	188000	2	ENSMUST00000023578	-16766	ENSMUSG00000022861	ENSMUSG00000022861
chr16	78282191	78283449	16_78282191_78283449	39.0362847281023	-1.52427642986062	0.000936625207634991	0.047867495283947	Distal Intergenic	16	78301496	78340752	39257	1	ENSMUST00000023572	-18047	ENSMUSG00000022865	ENSMUSG00000022865
chr18	52909072	52913138	18_52909072_52913138	179.693406164134	-0.873852023864843	0.000151628630919124	0.0163141414739588	Intron (ENSMUST00000115410/ENSMUSG00000024534, intron 10 of 10)	18	52838010	52915312	77303	1	ENSMUST00000179689	71063	ENSMUSG00000024534	ENSMUSG00000024534
