Chrom	Start	End	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr11	107933386	108343888	cluster_1	Promoter (<=1kb)	11	108343354	108395905	52552	1	ENSMUST00000133383	0	ENSMUSG00000000049	ENSMUSG00000000049
chr13	5855508	5858092	cluster_1	Distal Intergenic	13	5861489	5870393	8905	1	ENSMUST00000000080	-3397	ENSMUSG00000000078	ENSMUSG00000000078
chr11	59306929	59333552	cluster_1	Promoter (<=1kb)	11	59306930	59333552	26623	1	ENSMUST00000108783	0	ENSMUSG00000000126	ENSMUSG00000000126
chr11	108920348	108950781	cluster_1	Promoter (<=1kb)	11	108920349	108950783	30435	1	ENSMUST00000052915	0	ENSMUSG00000000142	ENSMUSG00000000142
chr6	127125708	127151048	cluster_1	Promoter (<=1kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	0	ENSMUSG00000000184	ENSMUSG00000000184
chr6	127149388	127212419	cluster_1	Promoter (<=1kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	0	ENSMUSG00000000184	ENSMUSG00000000184
chr11	114790668	114795892	cluster_1	Promoter (<=1kb)	11	114791217	114795873	4657	2	ENSMUST00000156053	0	ENSMUSG00000000202	ENSMUSG00000000202
chr2	38339280	38369737	cluster_1	Promoter (<=1kb)	2	38339281	38369199	29919	1	ENSMUST00000143783	0	ENSMUSG00000000247	ENSMUSG00000000247
chr11	74830923	74845725	cluster_1	Promoter (<=1kb)	11	74836326	74837723	1398	1	ENSMUST00000133217	0	ENSMUSG00000000282	ENSMUSG00000000282
chr11	70224126	70229798	cluster_1	Promoter (<=1kb)	11	70224128	70229739	5612	2	ENSMUST00000000326	0	ENSMUSG00000000317	ENSMUSG00000000317
chr15	100614139	100615110	cluster_1	Promoter (<=1kb)	15	100615628	100620731	5104	1	ENSMUST00000000356	-518	ENSMUSG00000000346	ENSMUSG00000000346
chr15	100615661	100620761	cluster_1	Promoter (<=1kb)	15	100615628	100620731	5104	1	ENSMUST00000000356	34	ENSMUSG00000000346	ENSMUSG00000000346
chr6	18366476	18514825	cluster_1	Promoter (<=1kb)	6	18366478	18428231	61754	2	ENSMUST00000152499	0	ENSMUSG00000000416	ENSMUSG00000000416
chr15	79995875	80014808	cluster_1	Promoter (<=1kb)	15	79995900	80014808	18909	2	ENSMUST00000000500	0	ENSMUSG00000000489	ENSMUSG00000000489
chr15	101174124	101212601	cluster_1	Promoter (<=1kb)	15	101174104	101213678	39575	1	ENSMUST00000000544	21	ENSMUSG00000000532	ENSMUSG00000000532
chr5	70961056	71095849	cluster_1	Promoter (<=1kb)	5	70961057	71095849	134793	2	ENSMUST00000000572	0	ENSMUSG00000000560	ENSMUSG00000000560
chr3	105942677	105960248	cluster_1	Promoter (<=1kb)	3	105959369	105969760	10392	1	ENSMUST00000010278	0	ENSMUSG00000000561	ENSMUSG00000000561
chr3	105870857	105924044	cluster_1	Promoter (<=1kb)	3	105870858	105908353	37496	1	ENSMUST00000164730	0	ENSMUSG00000000562	ENSMUSG00000000562
chr11	112782209	112787757	cluster_1	Promoter (<=1kb)	11	112782224	112787760	5537	1	ENSMUST00000000579	0	ENSMUSG00000000567	ENSMUSG00000000567
chr13	23456992	23465901	cluster_1	Promoter (<=1kb)	13	23456992	23465875	8884	2	ENSMUST00000041674	0	ENSMUSG00000000706	ENSMUSG00000000706
chr11	24078055	24173558	cluster_1	Promoter (<=1kb)	11	24078056	24173194	95139	1	ENSMUST00000000881	0	ENSMUSG00000000861	ENSMUSG00000000861
chr2	27165506	27183204	cluster_1	Promoter (<=1kb)	2	27177093	27177372	280	1	ENSMUST00000155290	0	ENSMUSG00000000889	ENSMUSG00000000889
chr7	59982500	60005156	cluster_1	Promoter (<=1kb)	7	59982495	60005111	22617	2	ENSMUST00000059305	0	ENSMUSG00000000948	ENSMUSG00000000948
chr9	21029372	21030531	cluster_1	Promoter (<=1kb)	9	21029373	21030531	1159	1	ENSMUST00000001040	0	ENSMUSG00000001014	ENSMUSG00000001014
chr7	31130126	31151050	cluster_1	Promoter (<=1kb)	7	31130127	31151014	20888	2	ENSMUST00000085636	0	ENSMUSG00000001248	ENSMUSG00000001248
chr15	102406315	102436404	cluster_1	Promoter (<=1kb)	15	102406328	102432679	26352	1	ENSMUST00000165924	0	ENSMUSG00000001280	ENSMUSG00000001280
chr8	8617438	8660773	cluster_1	Promoter (<=1kb)	8	8617434	8660773	43340	2	ENSMUST00000001319	0	ENSMUSG00000001300	ENSMUSG00000001300
chr11	101468337	101471306	cluster_1	Promoter (<=1kb)	11	101468175	101471853	3679	1	ENSMUST00000001347	163	ENSMUSG00000001313	ENSMUSG00000001313
chr11	101458747	101466199	cluster_1	Promoter (<=1kb)	11	101464999	101471853	6855	1	ENSMUST00000153185	0	ENSMUSG00000001313	ENSMUSG00000001313
chr3	88142371	88172091	cluster_1	Promoter (<=1kb)	3	88142372	88172086	29715	1	ENSMUST00000001455	0	ENSMUSG00000001419	ENSMUSG00000001419
chr10	77032738	77050432	cluster_1	Promoter (<=1kb)	10	77033212	77050431	17220	1	ENSMUST00000105410	0	ENSMUSG00000001436	ENSMUSG00000001436
chr17	35833919	35838301	cluster_1	Promoter (<=1kb)	17	35835605	35837060	1456	2	ENSMUST00000173253	0	ENSMUSG00000001525	ENSMUSG00000001525
chr5	148504630	148552788	cluster_1	Promoter (<=1kb)	5	148504631	148552788	48158	2	ENSMUST00000079324	0	ENSMUSG00000001687	ENSMUSG00000001687
chr12	112653820	112674276	cluster_1	Promoter (<=1kb)	12	112653821	112674276	20456	2	ENSMUST00000001780	0	ENSMUSG00000001729	ENSMUSG00000001729
chr7	83643062	83735490	cluster_1	Promoter (<=1kb)	7	83642848	83655495	12648	2	ENSMUST00000145610	0	ENSMUSG00000001741	ENSMUSG00000001741
chr8	84704711	84774369	cluster_1	Promoter (<=1kb)	8	84699876	84708218	8343	2	ENSMUST00000148644	0	ENSMUSG00000001911	ENSMUSG00000001911
chr9	44803354	44881274	cluster_1	Promoter (<=1kb)	9	44803355	44881274	77920	2	ENSMUST00000002095	0	ENSMUSG00000002028	ENSMUSG00000002028
chr7	16309582	16318334	cluster_1	Promoter (<=1kb)	7	16309616	16318205	8590	1	ENSMUST00000002152	0	ENSMUSG00000002083	ENSMUSG00000002083
chr2	6539698	7396198	cluster_1	Promoter (<=1kb)	2	6539705	6721615	181911	2	ENSMUST00000100429	0	ENSMUSG00000002107	ENSMUSG00000002107
chr7	6705959	6730419	cluster_1	Promoter (<=1kb)	7	6709395	6730419	21025	2	ENSMUST00000150182	0	ENSMUSG00000002265	ENSMUSG00000002265
chr15	76070181	76080946	cluster_1	Promoter (<=1kb)	15	76070184	76080946	10763	2	ENSMUST00000002599	0	ENSMUSG00000002524	ENSMUSG00000002524
