0	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	Chrom	Start	End	X4.8851361.8851762	.	..1	X8851361.1	X8851762.1	X0	X1	X401	X8851353	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName
ENSMUSG00000000154	307.1679227	-0.006396307	0.179938451	0.964445742	0.981228835	Slc22a18	chr7	143470629	143471030	7:143470629-143471030	.	.	143470629	143471030	0	1	401	143470628	cluster_1	Promoter (2-3kb)	7	143473721	143476309	2589	1	ENSMUST00000146983	-2691	ENSMUSG00000000154
ENSMUSG00000000171	6056.173625	0.362634485	0.081651526	4.50881E-06	6.11728E-05	Sdhd	chr9	50602152	50602553	9:50602152-50602553	.	.	50602152	50602553	0	1	401	50602147	cluster_3	Promoter (1-2kb)	9	50596338	50603849	7512	2	ENSMUST00000000175	1296	ENSMUSG00000000171
ENSMUSG00000000197	2912.565959	0.094276694	0.15823599	0.510738933	0.675188726	Nalcn	chr14	123554965	123555366	14:123554965-123555366	.	.	123554965	123555366	0	1	401	123554964	cluster_3	Intron (ENSMUST00000000201/ENSMUSG00000000197, intron 7 of 43)	14	123276641	123627144	350504	2	ENSMUST00000000201	71778	ENSMUSG00000000197
ENSMUSG00000000244	9.189209939	0.116880734	0.330945731	0.323738717	0.50661462	Tspan32	chr7	143031077	143031478	7:143031077-143031478	.	.	143031077	143031478	0	1	401	143031076	cluster_1	Intron (ENSMUST00000133630/ENSMUSG00000059277, intron 4 of 4)	7	143017409	143018903	1495	1	ENSMUST00000154264	13669	ENSMUSG00000000244
ENSMUSG00000000253	1290.068143	0.336134837	0.126118935	0.003821579	0.018293117	Gmpr	chr13	45593752	45594153	13:45593752-45594153	.	.	45593752	45594153	0	1	401	45593748	cluster_3	Intron (ENSMUST00000091628/ENSMUSG00000046876, intron 6 of 7)	13	45538809	45542550	3742	1	ENSMUST00000129176	54944	ENSMUSG00000000253
ENSMUSG00000000296	540.4532135	-0.211540062	0.196050387	0.176812231	0.337459631	Tpd52l1	chr10	31426577	31426978	10:31426577-31426978	.	.	31426577	31426978	0	1	401	31426574	cluster_3	Intron (ENSMUST00000000305/ENSMUSG00000000296, intron 1 of 6)	10	31332380	31445921	113542	2	ENSMUST00000000305	18943	ENSMUSG00000000296
ENSMUSG00000000420	3153.196132	0.153862029	0.086567679	0.064836406	0.165394156	Galnt1	chr18	24197213	24197614	18:24197213-24197614	.	.	24197213	24197614	0	1	401	24197211	cluster_3	Distal Intergenic	18	24205344	24286818	81475	1	ENSMUST00000000430	-7730	ENSMUSG00000000420
ENSMUSG00000000538	9061.221798	-0.062589157	0.091265281	0.473960411	0.644597631	Tom1l2	chr11	60288965	60289366	11:60288965-60289366	.	.	60288965	60289366	0	1	401	60288959	cluster_1	Intron (ENSMUST00000095254/ENSMUSG00000000538, intron 1 of 13)	11	60229902	60245669	15768	2	ENSMUST00000143124	-43297	ENSMUSG00000000538
ENSMUSG00000000560	3555.654311	-1.569597858	0.203543809	6.50578E-16	7.03773E-14	Gabra2	chr5	71209453	71209854	5:71209453-71209854	.	.	71209453	71209854	0	1	401	71209446	cluster_3	Distal Intergenic	5	70961057	71095849	134793	2	ENSMUST00000000572	-113605	ENSMUSG00000000560
ENSMUSG00000000627	3993.051029	-0.632526037	0.197906033	0.000262309	0.001959161	Sema4f	chr6	82853075	82853476	6:82853075-82853476	.	.	82853075	82853476	0	1	401	82853067	cluster_3	Distal Intergenic	6	82914084	82917586	3503	2	ENSMUST00000125579	64110	ENSMUSG00000000627
ENSMUSG00000000673	1.810816247	0.045221252	0.328048954	0.431999328	0	Haao	chr17	83889837	83890238	17:83889837-83890238	.	.	83889837	83890238	0	1	401	83889829	cluster_1	Distal Intergenic	17	83831356	83846790	15435	2	ENSMUST00000000687	-43048	ENSMUSG00000000673
ENSMUSG00000000708	1148.369013	0.3186938	0.240509853	0.074962745	0.183455937	Kat2b	chr17	53654635	53655036	17:53654635-53655036	.	.	53654635	53655036	0	1	401	53654630	cluster_3	Intron (ENSMUST00000000724/ENSMUSG00000000708, intron 11 of 17)	17	53659238	53663649	4412	1	ENSMUST00000167092	-4202	ENSMUSG00000000708
ENSMUSG00000000739	10.21030826	-0.04994641	0.295878979	0.712036771	0.830381174	Sult5a1	chr8	123146376	123146777	8:123146376-123146777	.	.	123146376	123146777	0	1	401	123146375	cluster_1	Intron (ENSMUST00000127664/ENSMUSG00000092329, intron 1 of 15)	8	123148120	123158228	10109	2	ENSMUST00000146007	11451	ENSMUSG00000000739
ENSMUSG00000000766	5.170128289	-0.02892895	0.324068967	0.566576838	0.721062149	Oprm1	chr10	6538245	6538646	10:6538245-6538646	.	.	6538245	6538646	0	1	401	6538239	cluster_1	Distal Intergenic	10	6758506	6979704	221199	1	ENSMUST00000147171	-219860	ENSMUSG00000000766
