Chrom	Start	End	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr16	18780446	18811972	cluster_3	Promoter (<=1kb)	16	18780447	18811972	31526	2	ENSMUST00000000028	0	ENSMUSG00000000028	ENSMUSG00000000028
chr11	121237235	121255856	cluster_3	Promoter (<=1kb)	11	121237253	121255856	18604	1	ENSMUST00000103015	0	ENSMUSG00000000056	ENSMUSG00000000056
chr13	5861488	5870393	cluster_3	Promoter (<=1kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	0	ENSMUSG00000000078	ENSMUSG00000000078
chr9	50605239	50617464	cluster_3	Promoter (<=1kb)	9	50617321	50624997	7677	1	ENSMUST00000000171	0	ENSMUSG00000000167	ENSMUSG00000000167
chr9	50617320	50625000	cluster_3	Promoter (<=1kb)	9	50617321	50624997	7677	1	ENSMUST00000000171	0	ENSMUSG00000000167	ENSMUSG00000000167
chr11	114790668	114795892	cluster_3	Promoter (<=1kb)	11	114791217	114795873	4657	2	ENSMUST00000156053	0	ENSMUSG00000000202	ENSMUSG00000000202
chr11	74830923	74845725	cluster_3	Promoter (<=1kb)	11	74836326	74837723	1398	1	ENSMUST00000133217	0	ENSMUSG00000000282	ENSMUSG00000000282
chr11	59970613	60046489	cluster_3	Promoter (<=1kb)	11	59970614	59971510	897	2	ENSMUST00000150954	0	ENSMUSG00000000301	ENSMUSG00000000301
chr15	100615661	100620761	cluster_3	Promoter (<=1kb)	15	100615628	100620731	5104	1	ENSMUST00000000356	34	ENSMUSG00000000346	ENSMUSG00000000346
chr11	6615597	6626067	cluster_3	Promoter (<=1kb)	11	6615598	6626043	10446	2	ENSMUST00000156969	0	ENSMUSG00000000384	ENSMUSG00000000384
chr6	126821862	126849144	cluster_3	Promoter (<=1kb)	6	126821863	126849144	27282	2	ENSMUST00000088194	0	ENSMUSG00000000399	ENSMUSG00000000399
chr6	115618572	115676635	cluster_3	Promoter (<=1kb)	6	115618067	115634621	16555	2	ENSMUST00000130528	0	ENSMUSG00000000441	ENSMUSG00000000441
chr5	99955934	99978938	cluster_3	Promoter (<=1kb)	5	99958426	99978938	20513	2	ENSMUST00000172361	0	ENSMUSG00000000568	ENSMUSG00000000568
chr11	17257617	17269176	cluster_3	Promoter (<=1kb)	11	17257688	17266624	8937	1	ENSMUST00000156784	0	ENSMUSG00000000581	ENSMUSG00000000581
chr5	3803164	3844515	cluster_3	Promoter (<=1kb)	5	3803165	3844515	41351	1	ENSMUST00000080085	0	ENSMUSG00000000600	ENSMUSG00000000600
chr8	12614276	12672100	cluster_3	Promoter (<=1kb)	8	12614277	12672099	57823	2	ENSMUST00000164774	0	ENSMUSG00000000759	ENSMUSG00000000759
chr2	181520484	181552880	cluster_3	Promoter (<=1kb)	2	181520485	181555133	34649	1	ENSMUST00000072334	0	ENSMUSG00000000826	ENSMUSG00000000826
chr10	75896768	75921614	cluster_3	Promoter (<=1kb)	10	75896773	75914162	17390	2	ENSMUST00000133189	0	ENSMUSG00000000902	ENSMUSG00000000902
chr14	54360840	54369669	cluster_3	Promoter (<=1kb)	14	54360841	54369669	8829	1	ENSMUST00000000985	0	ENSMUSG00000000959	ENSMUSG00000000959
chr11	83753636	83783754	cluster_3	Promoter (<=1kb)	11	83753696	83783754	30059	1	ENSMUST00000001002	0	ENSMUSG00000000976	ENSMUSG00000000976
chr3	90476200	90488379	cluster_3	Promoter (<=1kb)	3	90476201	90488379	12179	1	ENSMUST00000001042	0	ENSMUSG00000001016	ENSMUSG00000001016
chr3	90498538	90509498	cluster_3	Promoter (<=1kb)	3	90498956	90509450	10495	2	ENSMUST00000107343	0	ENSMUSG00000001017	ENSMUSG00000001017
chr11	61505171	61512927	cluster_3	Promoter (<=1kb)	11	61505203	61512931	7729	1	ENSMUST00000140548	0	ENSMUSG00000001039	ENSMUSG00000001039
chr5	34633646	34637114	cluster_3	Promoter (<=1kb)	5	34633647	34634727	1081	2	ENSMUST00000130347	0	ENSMUSG00000001082	ENSMUSG00000001082
chr11	78512295	78522736	cluster_3	Promoter (<=1kb)	11	78512388	78513980	1593	1	ENSMUST00000136284	0	ENSMUSG00000001100	ENSMUSG00000001100
chr11	78536435	78541473	cluster_3	Promoter (<=1kb)	11	78536443	78541489	5047	1	ENSMUST00000108275	0	ENSMUSG00000001105	ENSMUSG00000001105
chr1	36511875	36528237	cluster_3	Promoter (<=1kb)	1	36513097	36520435	7339	1	ENSMUST00000154225	0	ENSMUSG00000001138	ENSMUSG00000001138
chr10	76459566	76469114	cluster_3	Promoter (<=1kb)	10	76468971	76515856	46886	1	ENSMUST00000170795	0	ENSMUSG00000001150	ENSMUSG00000001150
chr10	76468970	76515857	cluster_3	Promoter (<=1kb)	10	76468971	76515856	46886	1	ENSMUST00000170795	0	ENSMUSG00000001150	ENSMUSG00000001150
chr10	76351253	76442912	cluster_3	Promoter (<=1kb)	10	76351254	76442912	91659	2	ENSMUST00000001179	0	ENSMUSG00000001151	ENSMUSG00000001151
chr12	111669354	111672338	cluster_3	Promoter (<=1kb)	12	111669355	111672338	2984	2	ENSMUST00000001304	0	ENSMUSG00000001270	ENSMUSG00000001270
chr15	102326115	102331489	cluster_3	Promoter (<=1kb)	15	102326116	102331873	5758	1	ENSMUST00000166658	0	ENSMUSG00000001289	ENSMUSG00000001289
chr11	74906358	74925798	cluster_3	Promoter (<=1kb)	11	74906359	74925798	19440	2	ENSMUST00000065211	0	ENSMUSG00000001323	ENSMUSG00000001323
chr9	78081499	78109065	cluster_3	Promoter (<=1kb)	9	78081499	78108656	27158	2	ENSMUST00000085311	0	ENSMUSG00000001366	ENSMUSG00000001366
chr18	36793922	36799660	cluster_3	Promoter (<=1kb)	18	36793923	36799660	5738	1	ENSMUST00000001419	0	ENSMUSG00000001383	ENSMUSG00000001383
chr3	88297134	88321766	cluster_3	Promoter (<=1kb)	3	88297153	88321507	24355	1	ENSMUST00000167718	0	ENSMUSG00000001416	ENSMUSG00000001416
chr8	123373710	123401892	cluster_3	Promoter (<=1kb)	8	123373824	123401892	28069	1	ENSMUST00000057934	0	ENSMUSG00000001472	ENSMUSG00000001472
chr6	128409443	128424910	cluster_3	Promoter (<=1kb)	6	128409533	128424918	15386	2	ENSMUST00000142615	8	ENSMUSG00000001518	ENSMUSG00000001518
chr17	35833919	35838301	cluster_3	Promoter (<=1kb)	17	35835605	35837060	1456	2	ENSMUST00000173253	0	ENSMUSG00000001525	ENSMUSG00000001525
chr12	40203128	40223189	cluster_3	Promoter (<=1kb)	12	40201567	40223189	21623	2	ENSMUST00000001672	0	ENSMUSG00000001627	ENSMUSG00000001627
chr6	34303929	34317489	cluster_3	Promoter (<=1kb)	6	34303934	34306687	2754	2	ENSMUST00000142761	0	ENSMUSG00000001642	ENSMUSG00000001642
chr6	34303933	34317443	cluster_3	Promoter (<=1kb)	6	34303934	34306687	2754	2	ENSMUST00000142761	0	ENSMUSG00000001642	ENSMUSG00000001642
chr5	148504630	148552788	cluster_3	Promoter (<=1kb)	5	148504631	148552788	48158	2	ENSMUST00000079324	0	ENSMUSG00000001687	ENSMUSG00000001687
chr11	101082564	101086619	cluster_3	Promoter (<=1kb)	11	101082565	101086619	4055	1	ENSMUST00000001806	0	ENSMUSG00000001755	ENSMUSG00000001755
chr9	18292266	18314000	cluster_3	Promoter (<=1kb)	9	18292267	18314000	21734	1	ENSMUST00000001825	0	ENSMUSG00000001774	ENSMUSG00000001774
chr7	101663767	101790168	cluster_3	Promoter (<=1kb)	7	101663775	101706547	42773	1	ENSMUST00000123870	0	ENSMUSG00000001829	ENSMUSG00000001829
chr9	37603293	37613720	cluster_3	Promoter (<=1kb)	9	37603295	37613720	10426	2	ENSMUST00000002013	0	ENSMUSG00000001948	ENSMUSG00000001948
chr9	44773008	44792714	cluster_3	Promoter (<=1kb)	9	44773051	44786325	13275	1	ENSMUST00000143654	0	ENSMUSG00000002031	ENSMUSG00000002031
chr7	16309582	16318334	cluster_3	Promoter (<=1kb)	7	16309616	16318205	8590	1	ENSMUST00000002152	0	ENSMUSG00000002083	ENSMUSG00000002083
chr2	91202911	91214098	cluster_3	Promoter (<=1kb)	2	91202924	91206046	3123	1	ENSMUST00000155418	0	ENSMUSG00000002103	ENSMUSG00000002103
chr2	6539698	7396198	cluster_3	Promoter (<=1kb)	2	6539705	6721615	181911	2	ENSMUST00000100429	0	ENSMUSG00000002107	ENSMUSG00000002107
chr11	4160353	4182541	cluster_3	Promoter (<=1kb)	11	4160355	4171913	11559	1	ENSMUST00000132666	0	ENSMUSG00000002129	ENSMUSG00000002129
chr7	44748628	44777514	cluster_3	Promoter (<=1kb)	7	44748636	44777515	28880	1	ENSMUST00000147952	0	ENSMUSG00000002205	ENSMUSG00000002205
chr7	44731481	44748617	cluster_3	Promoter (<=1kb)	7	44748413	44777515	29103	1	ENSMUST00000002275	0	ENSMUSG00000002205	ENSMUSG00000002205
chr17	25773775	25783332	cluster_3	Promoter (<=1kb)	17	25773776	25782791	9016	1	ENSMUST00000134108	0	ENSMUSG00000002280	ENSMUSG00000002280
chr8	70234225	70263105	cluster_3	Promoter (<=1kb)	8	70220172	70234466	14295	2	ENSMUST00000019679	0	ENSMUSG00000002343	ENSMUSG00000002343
chr8	70220192	70234422	cluster_3	Promoter (<=1kb)	8	70220198	70222789	2592	2	ENSMUST00000139765	0	ENSMUSG00000002343	ENSMUSG00000002343
chr8	71366847	71369732	cluster_3	Promoter (<=1kb)	8	71366848	71369729	2882	1	ENSMUST00000110053	0	ENSMUSG00000002395	ENSMUSG00000002395
chr7	28179482	28187298	cluster_3	Promoter (<=1kb)	7	28179494	28186923	7430	1	ENSMUST00000172761	0	ENSMUSG00000002409	ENSMUSG00000002409
chr6	39592582	39599471	cluster_3	Promoter (<=1kb)	6	39592583	39599471	6889	1	ENSMUST00000119379	0	ENSMUSG00000002416	ENSMUSG00000002416
chr18	10706859	10711832	cluster_3	Promoter (<=1kb)	18	10644411	10706771	62361	2	ENSMUST00000117828	-89	ENSMUSG00000002475	ENSMUSG00000002475
chr15	76070181	76080946	cluster_3	Promoter (<=1kb)	15	76070184	76080946	10763	2	ENSMUST00000002599	0	ENSMUSG00000002524	ENSMUSG00000002524
chr17	32321423	32350577	cluster_3	Promoter (<=1kb)	17	32321425	32350581	29157	2	ENSMUST00000050214	4	ENSMUSG00000002625	ENSMUSG00000002625
chr7	34184496	34196647	cluster_3	Promoter (<=1kb)	7	34184653	34196608	11956	2	ENSMUST00000148381	0	ENSMUSG00000002635	ENSMUSG00000002635
chr2	166906095	166946389	cluster_3	Promoter (<=1kb)	2	166906111	166946101	39991	1	ENSMUST00000169290	0	ENSMUSG00000002718	ENSMUSG00000002718
chr9	21411836	21420279	cluster_3	Promoter (<=1kb)	9	21411837	21420277	8441	1	ENSMUST00000002902	0	ENSMUSG00000002825	ENSMUSG00000002825
chr8	70835137	70839720	cluster_3	Promoter (<=1kb)	8	70835155	70839720	4566	2	ENSMUST00000002989	0	ENSMUSG00000002910	ENSMUSG00000002910
chr8	4259730	4275905	cluster_3	Promoter (<=1kb)	8	4259731	4275885	16155	2	ENSMUST00000149827	0	ENSMUSG00000002949	ENSMUSG00000002949
chr7	44857145	44862929	cluster_3	Promoter (<=1kb)	7	44857151	44857505	355	1	ENSMUST00000154968	0	ENSMUSG00000002963	ENSMUSG00000002963
chr12	31926454	31950535	cluster_3	Promoter (<=1kb)	12	31926254	31950535	24282	2	ENSMUST00000172314	0	ENSMUSG00000002996	ENSMUSG00000002996
chr12	31654868	31937630	cluster_3	Promoter (<=1kb)	12	31930924	31934803	3880	2	ENSMUST00000176138	0	ENSMUSG00000002996	ENSMUSG00000002996
chr6	134920400	134925525	cluster_3	Promoter (<=1kb)	6	134920401	134925513	5113	1	ENSMUST00000003115	0	ENSMUSG00000003031	ENSMUSG00000003031
chr8	72240131	72257379	cluster_3	Promoter (<=1kb)	8	72240323	72251817	11495	1	ENSMUST00000126885	0	ENSMUSG00000003033	ENSMUSG00000003033
chr4	133964738	133967991	cluster_3	Promoter (<=1kb)	4	133964990	133967441	2452	2	ENSMUST00000105893	0	ENSMUSG00000003038	ENSMUSG00000003038
chr17	55959186	55967951	cluster_3	Promoter (<=1kb)	17	55959187	55967949	8763	1	ENSMUST00000086869	0	ENSMUSG00000003208	ENSMUSG00000003208
chr17	55954770	55959401	cluster_3	Promoter (<=1kb)	17	55959187	55967949	8763	1	ENSMUST00000086869	0	ENSMUSG00000003208	ENSMUSG00000003208
chr8	111157557	111259202	cluster_3	Promoter (<=1kb)	8	111157525	111177776	20252	2	ENSMUST00000168741	0	ENSMUSG00000003316	ENSMUSG00000003316
chr7	24969749	24972728	cluster_3	Promoter (<=1kb)	7	24969750	24972728	2979	2	ENSMUST00000076961	0	ENSMUSG00000003380	ENSMUSG00000003380
chr7	24970009	24970075	cluster_3	Promoter (2-3kb)	7	24969750	24972728	2979	2	ENSMUST00000076961	2653	ENSMUSG00000003380	ENSMUSG00000003380
chr7	45062428	45078503	cluster_3	Promoter (<=1kb)	7	45062429	45077416	14988	1	ENSMUST00000107830	0	ENSMUSG00000003421	ENSMUSG00000003421
chr6	149408983	149563326	cluster_3	Promoter (<=1kb)	6	149408984	149563329	154346	1	ENSMUST00000086829	0	ENSMUSG00000003452	ENSMUSG00000003452
chr1	172082528	172122332	cluster_3	Promoter (<=1kb)	1	172066013	172082795	16783	2	ENSMUST00000003550	0	ENSMUSG00000003458	ENSMUSG00000003458
chr1	172066012	172082749	cluster_3	Promoter (<=1kb)	1	172066700	172068064	1365	2	ENSMUST00000135928	0	ENSMUSG00000003458	ENSMUSG00000003458
chr7	19345070	19356524	cluster_3	Promoter (<=1kb)	7	19345101	19355474	10374	1	ENSMUST00000160192	0	ENSMUSG00000003549	ENSMUSG00000003549
chr2	127240937	127247816	cluster_3	Promoter (<=1kb)	2	127240938	127247816	6879	2	ENSMUST00000003759	0	ENSMUSG00000003662	ENSMUSG00000003662
chr4	129643978	129672767	cluster_3	Promoter (<=1kb)	4	129643980	129672767	28788	2	ENSMUST00000102590	0	ENSMUSG00000003731	ENSMUSG00000003731
chr18	34598614	34624863	cluster_3	Promoter (<=1kb)	18	34598615	34624601	25987	2	ENSMUST00000003876	0	ENSMUSG00000003778	ENSMUSG00000003778
chr8	84842087	84846931	cluster_3	Promoter (<=1kb)	8	84842596	84844916	2321	2	ENSMUST00000154774	0	ENSMUSG00000003814	ENSMUSG00000003814
chr15	76904070	76906318	cluster_3	Promoter (<=1kb)	15	76904071	76906318	2248	1	ENSMUST00000004072	0	ENSMUSG00000003970	ENSMUSG00000003970
chr11	100886805	100939540	cluster_3	Promoter (<=1kb)	11	100885098	100939404	54307	2	ENSMUST00000103114	0	ENSMUSG00000004040	ENSMUSG00000004040
chr16	4684069	4707693	cluster_3	Promoter (<=1kb)	16	4684070	4707695	23626	1	ENSMUST00000060067	0	ENSMUSG00000004069	ENSMUSG00000004069
chr3	138143537	138159820	cluster_3	Promoter (<=1kb)	3	138143799	138148362	4564	1	ENSMUST00000159622	0	ENSMUSG00000004127	ENSMUSG00000004127
chr3	99141089	99220203	cluster_3	Promoter (<=1kb)	3	99141093	99239186	98094	1	ENSMUST00000145650	0	ENSMUSG00000004233	ENSMUSG00000004233
chr6	124704369	124712178	cluster_3	Promoter (<=1kb)	6	124704381	124712178	7798	2	ENSMUST00000004379	0	ENSMUSG00000004268	ENSMUSG00000004268
chr10	88746606	88826814	cluster_3	Promoter (<=1kb)	10	88746607	88826814	80208	2	ENSMUST00000004470	0	ENSMUSG00000004356	ENSMUSG00000004356
chr6	52713728	52766779	cluster_3	Promoter (<=1kb)	6	52713729	52766780	53052	1	ENSMUST00000080723	0	ENSMUSG00000004535	ENSMUSG00000004535
chr14	51884841	51891868	cluster_3	Promoter (<=1kb)	14	51884842	51891868	7027	1	ENSMUST00000047899	0	ENSMUSG00000004561	ENSMUSG00000004561
chr8	114439651	115352712	cluster_3	Promoter (<=1kb)	8	114439655	115352708	913054	1	ENSMUST00000004756	0	ENSMUSG00000004637	ENSMUSG00000004637
chr5	136987018	136996646	cluster_3	Promoter (<=1kb)	5	136987019	136996648	9630	1	ENSMUST00000004968	0	ENSMUSG00000004846	ENSMUSG00000004846
chr3	87930313	87940686	cluster_3	Promoter (<=1kb)	3	87923663	87930717	7055	2	ENSMUST00000161014	0	ENSMUSG00000004896	ENSMUSG00000004896
chr3	87906320	87916132	cluster_3	Promoter (<=1kb)	3	87906321	87916132	9812	1	ENSMUST00000005017	0	ENSMUSG00000004897	ENSMUSG00000004897
chr10	81070082	81082360	cluster_3	Promoter (<=1kb)	10	81070127	81074877	4751	1	ENSMUST00000167658	0	ENSMUSG00000004929	ENSMUSG00000004929
chr6	51460434	51469894	cluster_3	Promoter (<=1kb)	6	51460434	51469894	9461	2	ENSMUST00000114459	0	ENSMUSG00000004980	ENSMUSG00000004980
chr12	72085838	72101527	cluster_3	Promoter (<=1kb)	12	72085857	72100861	15005	1	ENSMUST00000057257	0	ENSMUSG00000005078	ENSMUSG00000005078
chr8	84969621	84974810	cluster_3	Promoter (<=1kb)	8	84969694	84971125	1432	1	ENSMUST00000138748	0	ENSMUSG00000005161	ENSMUSG00000005161
chr15	77915050	77928994	cluster_3	Promoter (<=1kb)	15	77915047	77915700	654	2	ENSMUST00000173561	0	ENSMUSG00000005354	ENSMUSG00000005354
chr6	106778244	106800087	cluster_3	Promoter (<=1kb)	6	106778249	106800069	21821	2	ENSMUST00000049675	0	ENSMUSG00000005362	ENSMUSG00000005362
chr5	135052956	135064666	cluster_3	Promoter (<=1kb)	5	135052957	135056927	3971	2	ENSMUST00000129691	0	ENSMUSG00000005378	ENSMUSG00000005378
chr5	135064205	135065365	cluster_3	Promoter (<=1kb)	5	135052957	135064666	11710	2	ENSMUST00000085984	0	ENSMUSG00000005378	ENSMUSG00000005378
chr7	25267698	25294159	cluster_3	Promoter (<=1kb)	7	25267704	25294159	26456	1	ENSMUST00000169266	0	ENSMUSG00000005442	ENSMUSG00000005442
chr8	83608174	83612653	cluster_3	Promoter (<=1kb)	8	83608175	83611902	3728	1	ENSMUST00000005620	0	ENSMUSG00000005483	ENSMUSG00000005483
chr2	90894635	90904721	cluster_3	Promoter (<=1kb)	2	90894634	90898454	3821	2	ENSMUST00000140248	0	ENSMUSG00000005510	ENSMUSG00000005510
chr7	13024151	13031032	cluster_3	Promoter (<=1kb)	7	13024152	13031035	6884	1	ENSMUST00000005705	0	ENSMUSG00000005566	ENSMUSG00000005566
chr7	111067984	111083030	cluster_3	Promoter (<=1kb)	7	111067985	111083030	15046	2	ENSMUST00000106666	0	ENSMUSG00000005610	ENSMUSG00000005610
chr16	32430920	32475065	cluster_3	Promoter (<=1kb)	16	32430921	32474704	43784	1	ENSMUST00000115137	0	ENSMUSG00000005615	ENSMUSG00000005615
chr1	171217802	171222514	cluster_3	Promoter (<=1kb)	1	171217802	171222184	4383	2	ENSMUST00000111327	0	ENSMUSG00000005674	ENSMUSG00000005674
chr16	11193036	11203292	cluster_3	Promoter (<=1kb)	16	11193505	11194995	1491	2	ENSMUST00000129962	0	ENSMUSG00000005846	ENSMUSG00000005846
chr18	34220983	34322190	cluster_3	Promoter (<=1kb)	18	34220984	34318608	97625	1	ENSMUST00000079362	0	ENSMUSG00000005871	ENSMUSG00000005871
chr2	155846885	155930310	cluster_3	Promoter (<=1kb)	2	155846894	155930060	83167	2	ENSMUST00000136933	0	ENSMUSG00000005882	ENSMUSG00000005882
chr5	3596065	3637230	cluster_3	Promoter (<=1kb)	5	3596066	3637230	41165	1	ENSMUST00000006061	0	ENSMUSG00000005907	ENSMUSG00000005907
chr11	73183132	73199019	cluster_3	Promoter (<=1kb)	11	73186352	73188806	2455	2	ENSMUST00000130101	0	ENSMUSG00000005949	ENSMUSG00000005949
chr16	21204794	21223304	cluster_3	Promoter (<=1kb)	16	21211095	21222967	11873	1	ENSMUST00000161063	0	ENSMUSG00000005958	ENSMUSG00000005958
chr1	150361310	150393055	cluster_3	Promoter (<=1kb)	1	150392838	150449815	56978	1	ENSMUST00000124973	0	ENSMUSG00000006005	ENSMUSG00000006005
chr1	150392837	150449935	cluster_3	Promoter (<=1kb)	1	150392838	150449815	56978	1	ENSMUST00000124973	0	ENSMUSG00000006005	ENSMUSG00000006005
chr7	16119875	16127516	cluster_3	Promoter (<=1kb)	7	16119895	16121524	1630	1	ENSMUST00000130170	0	ENSMUSG00000006021	ENSMUSG00000006021
chr7	30232073	30233387	cluster_3	Promoter (<=1kb)	7	30224131	30232272	8142	2	ENSMUST00000006254	0	ENSMUSG00000006095	ENSMUSG00000006095
chr7	30224130	30232029	cluster_3	Promoter (<=1kb)	7	30224133	30227000	2868	2	ENSMUST00000169358	0	ENSMUSG00000006095	ENSMUSG00000006095
chr11	75631019	75648865	cluster_3	Promoter (<=1kb)	11	75631029	75648863	17835	1	ENSMUST00000136605	0	ENSMUSG00000006127	ENSMUSG00000006127
chr16	17451984	17487440	cluster_3	Promoter (<=1kb)	16	17451987	17486255	34269	1	ENSMUST00000006293	0	ENSMUSG00000006134	ENSMUSG00000006134
chr13	29191745	29855673	cluster_3	Promoter (<=1kb)	13	29191746	29855647	663902	2	ENSMUST00000140278	0	ENSMUSG00000006191	ENSMUSG00000006191
chr8	69088735	69113717	cluster_3	Promoter (<=1kb)	8	69088768	69107363	18596	1	ENSMUST00000153079	0	ENSMUSG00000006273	ENSMUSG00000006273
chr8	69037707	69089222	cluster_3	Promoter (<=1kb)	8	69088646	69113711	25066	1	ENSMUST00000006435	0	ENSMUSG00000006273	ENSMUSG00000006273
chr7	3704040	3706897	cluster_3	Promoter (<=1kb)	7	3704041	3704877	837	1	ENSMUST00000128729	0	ENSMUSG00000006333	ENSMUSG00000006333
chr7	3620323	3629929	cluster_3	Promoter (<=1kb)	7	3620324	3629884	9561	2	ENSMUST00000155592	0	ENSMUSG00000006335	ENSMUSG00000006335
chr19	4784292	4811634	cluster_3	Promoter (<=1kb)	19	4800569	4811634	11066	2	ENSMUST00000006625	0	ENSMUSG00000006456	ENSMUSG00000006456
chr19	4800565	4811634	cluster_3	Promoter (<=1kb)	19	4800569	4811634	11066	2	ENSMUST00000006625	0	ENSMUSG00000006456	ENSMUSG00000006456
chr2	25255438	25256352	cluster_3	Promoter (<=1kb)	2	25251748	25256022	4275	2	ENSMUST00000132128	0	ENSMUSG00000006471	ENSMUSG00000006471
chr10	79851376	79854971	cluster_3	Promoter (<=1kb)	10	79854427	79864432	10006	1	ENSMUST00000172282	0	ENSMUSG00000006498	ENSMUSG00000006498
chr11	102393402	102402939	cluster_3	Promoter (<=1kb)	11	102393403	102401754	8352	1	ENSMUST00000107102	0	ENSMUSG00000006575	ENSMUSG00000006575
chr5	31048639	31054633	cluster_3	Promoter (<=1kb)	5	31036036	31048924	12889	2	ENSMUST00000080431	0	ENSMUSG00000006641	ENSMUSG00000006641
