Chrom	Start	End	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr16	18811586	18811803	Promoter (<=1kb)	16	18780453	18811626	31174	2	ENSMUST00000096990	0	ENSMUSG00000000028	ENSMUSG00000000028
chr11	121237000	121237296	Promoter (<=1kb)	11	121237253	121255856	18604	1	ENSMUST00000103015	0	ENSMUSG00000000056	ENSMUSG00000000056
chr6	17281013	17281306	Promoter (<=1kb)	6	17281185	17289115	7931	1	ENSMUST00000000058	0	ENSMUSG00000000058	ENSMUSG00000000058
chr13	5803579	5803948	Distal Intergenic	13	5861489	5870393	8905	1	ENSMUST00000000080	-57541	ENSMUSG00000000078	ENSMUSG00000000078
chr13	5861095	5861589	Promoter (<=1kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	0	ENSMUSG00000000078	ENSMUSG00000000078
chr4	120380726	120381232	Distal Intergenic	4	120405281	120454515	49235	1	ENSMUST00000134375	-24049	ENSMUSG00000000085	ENSMUSG00000000085
chr4	120517361	120517613	Promoter (<=1kb)	4	120517626	120530184	12559	1	ENSMUST00000136801	-13	ENSMUSG00000000085	ENSMUSG00000000085
chr9	57521039	57521307	Promoter (<=1kb)	9	57521232	57532424	11193	1	ENSMUST00000000090	0	ENSMUSG00000000088	ENSMUSG00000000088
chr11	59302830	59303073	Distal Intergenic	11	59306928	59333552	26625	1	ENSMUST00000000128	-3855	ENSMUSG00000000126	ENSMUSG00000000126
chr11	59306621	59307032	Promoter (<=1kb)	11	59306928	59333552	26625	1	ENSMUST00000000128	0	ENSMUSG00000000126	ENSMUSG00000000126
chr7	126200344	126200630	Promoter (<=1kb)	7	126101715	126200501	98787	2	ENSMUST00000168189	0	ENSMUSG00000000131	ENSMUSG00000000131
chr5	140704684	140705106	Promoter (<=1kb)	5	140705011	140719379	14369	1	ENSMUST00000041588	0	ENSMUSG00000000148	ENSMUSG00000000148
chr5	140800404	140800612	Intron (ENSMUST00000000153/ENSMUSG00000000149, intron 1 of 3)	5	140758408	140830431	72024	2	ENSMUST00000000153	29819	ENSMUSG00000000149	ENSMUSG00000000149
chr5	140830348	140830798	Promoter (<=1kb)	5	140758408	140830431	72024	2	ENSMUST00000000153	0	ENSMUSG00000000149	ENSMUSG00000000149
chr16	96408123	96408466	Intron (ENSMUST00000113794/ENSMUSG00000000159, intron 8 of 8)	16	96396406	96421954	25549	1	ENSMUST00000136292	11718	ENSMUSG00000000159	ENSMUSG00000000159
chr9	50617327	50617506	Promoter (<=1kb)	9	50617333	50622643	5311	1	ENSMUST00000124029	0	ENSMUSG00000000167	ENSMUSG00000000167
chr9	50659408	50659733	Promoter (<=1kb)	9	50634633	50659780	25148	2	ENSMUST00000034567	47	ENSMUSG00000000168	ENSMUSG00000000168
chr9	50590907	50591183	Distal Intergenic	9	50596338	50603849	7512	2	ENSMUST00000000175	12666	ENSMUSG00000000171	ENSMUSG00000000171
