Chrom	Start	End	X4_107803533_107804099	X260.841296038657	X.0.886444407256619	X6.26305834570488e.10	X1.2988539165934299e.06	ENSMUSG00000028613.14	Lrp8	intron	ENSMUSG00000028613.14.1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr15	101191608	101192162	15_101191608_101192162	166.352043103445	-0.668551788365563	5.92547054758221e-05	0.00630176324987738	ENSMUSG00000000532.11	Acvr1b	intron	ENSMUSG00000000532.11	Intron (ENSMUST00000000544/ENSMUSG00000000532, intron 1 of 8)	15	101174104	101213678	39575	1	ENSMUST00000000544	17505	ENSMUSG00000000532	ENSMUSG00000000532
chr3	89522818	89523037	3_89522818_89523037	91.8789390973631	-0.741121470164358	0.000179892704618399	0.0131284746250248	ENSMUSG00000000794.9	Kcnn3	intron	ENSMUSG00000000794.9	Promoter (2-3kb)	3	89520164	89667761	147598	1	ENSMUST00000000811	2655	ENSMUSG00000000794	ENSMUSG00000000794
chr12	100326812	100327029	12_100326812_100327029	40.584328639427	-0.745562381182376	0.000507614764401146	0.0244815911373778	ENSMUSG00000033530.8	Ttc7b	intron	ENSMUSG00000033530.8	Intron (ENSMUST00000062957/ENSMUSG00000033530, intron 18 of 19)	12	100205403	100206495	1093	1	ENSMUST00000127300	121410	ENSMUSG00000001175	ENSMUSG00000001175
chr2	32038677	32038989	2_32038677_32038989	69.12277906112	-0.788152969203559	0.000156284805208119	0.0118576331171013	ENSMUSG00000001855.15	Nup214	intron	ENSMUSG00000001855.15	Intron (ENSMUST00000065398/ENSMUSG00000001855, intron 30 of 35)	2	32042518	32052367	9850	1	ENSMUST00000152791	-3529	ENSMUSG00000001855	ENSMUSG00000001855
chr8	125465358	125465772	8_125465358_125465772	61.8545170734565	-0.826831844209895	8.18154059137102e-05	0.007656071184092	ENSMUSG00000001995.9	Sipa1l2	intron	ENSMUSG00000001995.9	Intron (ENSMUST00000108775/ENSMUSG00000001995, intron 7 of 20)	8	125418063	125492710	74648	2	ENSMUST00000108775	26938	ENSMUSG00000001995	ENSMUSG00000001995
chr12	84801725	84801962	12_84801725_84801962	42.5908921732717	-0.710889563501805	0.000887736234931993	0.0339357971467244	ENSMUSG00000002020.15	Ltbp2	intron	ENSMUSG00000002020.15	Promoter (2-3kb)	12	84791859	84799463	7605	2	ENSMUST00000165141	-2263	ENSMUSG00000002020	ENSMUSG00000002020
chr7	25073134	25073327	7_25073134_25073327	97.7934215402128	-0.666955896308239	0.000525888460546412	0.0251195013995355	ENSMUSG00000045252.11	Zfp574	promoter-TSS	ENSMUSG00000003378.9	Promoter (<=1kb)	7	25009853	25072369	62517	2	ENSMUST00000003468	-766	ENSMUSG00000003378	ENSMUSG00000003378
chr7	25073134	25073327	7_25073134_25073327	97.7934215402128	-0.666955896308239	0.000525888460546412	0.0251195013995355	ENSMUSG00000003378.9	Grik5	promoter-TSS	ENSMUSG00000003378.9	Promoter (<=1kb)	7	25009853	25072369	62517	2	ENSMUST00000003468	-766	ENSMUSG00000003378	ENSMUSG00000003378
chr17	35821496	35821872	17_35821496_35821872	151.49524390733	-0.787809770994591	4.03071616314162e-06	0.0008956107360352	ENSMUSG00000003541.6	Ier3	promoter-TSS	ENSMUSG00000003541.6	Promoter (<=1kb)	17	35821684	35822923	1240	1	ENSMUST00000003635	0	ENSMUSG00000003541	ENSMUSG00000003541
chr7	27231735	27231900	7_27231735_27231900	64.7136164103953	-0.650648943862247	0.00167955106444287	0.0489269908587268	ENSMUSG00000003762.13	Adck4	Intergenic	Intergenic	Promoter (1-2kb)	7	27233023	27257950	24928	1	ENSMUST00000003860	-1123	ENSMUSG00000003762	ENSMUSG00000003762
chr11	100946742	100947199	11_100946742_100947199	63.3792702833834	-0.792345622749437	0.000138733807809188	0.0109953170099983			Intergenic	Intergenic	Distal Intergenic	11	100886810	100939540	52731	2	ENSMUST00000127638	-7203	ENSMUSG00000004040	ENSMUSG00000004040
chr6	4709027	4709364	6_4709027_4709364	98.7650032563951	-0.766647679836514	7.13198424105753e-05	0.00701527904438567	ENSMUSG00000004631.15	Sgce	exon	ENSMUSG00000004631.15	Intron (ENSMUST00000115579/ENSMUSG00000004631, intron 4 of 10)	6	4677931	4689699	11769	2	ENSMUST00000130428	-19329	ENSMUSG00000004631	ENSMUSG00000004631
chr3	87985435	87985743	3_87985435_87985743	118.555223516517	-0.699396375446976	0.000134398872959607	0.0108108721900878			Intergenic	Intergenic	Downstream (1-2kb)	3	87971129	87980451	9323	1	ENSMUST00000160694	14307	ENSMUSG00000004891	ENSMUSG00000004891
chr2	102901323	102901654	2_102901323_102901654	86.619345322947	-0.696088725116211	0.000411236939759498	0.0219334937092703	ENSMUSG00000005087.17	Cd44	promoter-TSS	ENSMUSG00000005087.17	Promoter (<=1kb)	2	102811141	102901625	90485	2	ENSMUST00000005218	0	ENSMUSG00000005087	ENSMUSG00000005087
chr1	75546403	75546637	1_75546403_75546637	46.0082487887222	-0.708726994135875	0.000917219484593826	0.0344282414684796	ENSMUSG00000006576.16	Slc4a3	promoter-TSS	ENSMUSG00000006576.16	Promoter (<=1kb)	1	75546462	75548038	1577	1	ENSMUST00000150142	0	ENSMUSG00000006576	ENSMUSG00000006576
chr4	133729489	133730036	4_133729489_133730036	145.816746295179	-0.693771586662285	6.40948344946682e-05	0.00665796716713857	ENSMUSG00000007880.16	Arid1a	intron	ENSMUSG00000007880.16	Intron (ENSMUST00000105897/ENSMUSG00000007880, intron 1 of 19)	4	133720779	133723879	3101	2	ENSMUST00000139709	-5611	ENSMUSG00000007880	ENSMUSG00000007880
chrX	10717188	10717650	X_10717188_10717650	108.518187408028	-0.675109253844974	0.000328748957454093	0.0196180295537369	ENSMUSG00000097444.1	Gm10489	promoter-TSS	ENSMUSG00000008035.12	Promoter (<=1kb)	20	10717390	10719690	2301	1	ENSMUST00000008179	0	ENSMUSG00000008035	ENSMUSG00000008035
chrX	10717188	10717650	X_10717188_10717650	108.518187408028	-0.675109253844974	0.000328748957454093	0.0196180295537369	ENSMUSG00000085587.1	RP23-130J1.4	promoter-TSS	ENSMUSG00000008035.12	Promoter (<=1kb)	20	10717390	10719690	2301	1	ENSMUST00000008179	0	ENSMUSG00000008035	ENSMUSG00000008035
chrX	10717188	10717650	X_10717188_10717650	108.518187408028	-0.675109253844974	0.000328748957454093	0.0196180295537369	ENSMUSG00000008035.12	Mid1ip1	promoter-TSS	ENSMUSG00000008035.12	Promoter (<=1kb)	20	10717390	10719690	2301	1	ENSMUST00000008179	0	ENSMUSG00000008035	ENSMUSG00000008035
chr10	75898895	75899192	10_75898895_75899192	62.2349259953162	-0.834505380412598	6.63035864767115e-05	0.00676074763722409	ENSMUSG00000000902.13	Smarcb1	intron	ENSMUSG00000000902.13	Intron (ENSMUST00000000925/ENSMUSG00000000902, intron 7 of 8)	10	75893398	75895941	2544	1	ENSMUST00000009236	5498	ENSMUSG00000009092	ENSMUSG00000009092
chr9	14596527	14596768	9_14596527_14596768	57.689382225499	-1.09482940368596	2.57145053286208e-07	0.00012074173200152	ENSMUSG00000013076.17	Amotl1	intron	ENSMUSG00000013076.17	3' UTR	9	14593478	14614586	21109	2	ENSMUST00000162802	17818	ENSMUSG00000013076	ENSMUSG00000013076
