.	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	Chrom	Start	End	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	Shared
ENSMUSG00000000001	4606.130526	-0.544408971	0.085219551	3.9694E-11	1.78438E-09	Gnai3	chr3	108143982	108144237	Promoter (1-2kb)	3	108107280	108146146	38867	2	ENSMUST00000000001	1909	ENSMUSG00000000001	Shared
ENSMUSG00000000031	764.6580394	-0.910788686	0.249952553	2.23555E-05	0.000244052	H19	chr7	142585871	142586224	Distal Intergenic	7	142575529	142578143	2615	2	ENSMUST00000136359	-7729	ENSMUSG00000000031	Shared
ENSMUSG00000000049	24.48412145	0.050976493	0.291956001	0.707138088	0.827100109	Apoh	chr11	108273983	108274318	Intron (ENSMUST00000059595/ENSMUSG00000050965, intron 2 of 16)	11	108343354	108395905	52552	1	ENSMUST00000133383	-69036	ENSMUSG00000000049	Shared
ENSMUSG00000000058	3295.468212	-0.205592446	0.102894267	0.035919444	0.106090588	Cav2	chr6	17253536	17253805	Intron (ENSMUST00000131334/ENSMUSG00000085264, intron 1 of 4)	6	17281185	17289115	7931	1	ENSMUST00000000058	-27380	ENSMUSG00000000058	Shared
ENSMUSG00000000078	2860.97596	-0.552593493	0.110111255	1.76444E-07	3.44526E-06	Klf6	chr13	5540324	5540727	Distal Intergenic	13	5861489	5870393	8905	1	ENSMUST00000000080	-320762	ENSMUSG00000000078	Shared
ENSMUSG00000000085	2000.170819	0.208018285	0.1528572	0.126711242	0.267116108	Scmh1	chr4	120353782	120354198	Distal Intergenic	4	120405281	120454515	49235	1	ENSMUST00000134375	-51083	ENSMUSG00000000085	Shared
ENSMUSG00000000126	1895.820431	-0.187258231	0.089162877	0.028695396	0.089428311	Wnt9a	chr11	59302661	59303024	Distal Intergenic	11	59306928	59333552	26625	1	ENSMUST00000000128	-3904	ENSMUSG00000000126	Shared
ENSMUSG00000000127	1188.739575	-0.086608605	0.10114538	0.354896154	0.537003089	Fer	chr17	63915266	63915625	Intron (ENSMUST00000000129/ENSMUSG00000000127, intron 3 of 17)	17	63896018	64139494	243477	1	ENSMUST00000000129	19249	ENSMUSG00000000127	Shared
ENSMUSG00000000131	3789.972791	-0.313888268	0.087080565	0.000188619	0.001493378	Xpo6	chr7	126183976	126184500	Promoter (2-3kb)	7	126169268	126181637	12370	2	ENSMUST00000166368	-2340	ENSMUSG00000000131	Shared
ENSMUSG00000000142	1584.227079	-0.461158559	0.168175887	0.001821222	0.009994981	Axin2	chr11	108901123	108901458	Distal Intergenic	11	108920349	108950783	30435	1	ENSMUST00000052915	-18891	ENSMUSG00000000142	Shared
ENSMUSG00000000149	5823.215343	-0.407099327	0.141664981	0.001294853	0.007524728	Gna12	chr5	140818662	140818974	Intron (ENSMUST00000000153/ENSMUSG00000000149, intron 1 of 3)	5	140758408	140830431	72024	2	ENSMUST00000000153	11457	ENSMUSG00000000149	Shared
ENSMUSG00000000154	307.1679227	-0.006396307	0.179938451	0.964445742	0.981228835	Slc22a18	chr7	143470194	143471063	Promoter (2-3kb)	7	143473721	143476309	2589	1	ENSMUST00000146983	-2658	ENSMUSG00000000154	Shared
ENSMUSG00000000159	2.445756219	0.005567803	0.317627193	0.946069749	.	Igsf5	chr16	96339669	96339934	Distal Intergenic	16	96361668	96422121	60454	1	ENSMUST00000113794	-21734	ENSMUSG00000000159	Shared
ENSMUSG00000000168	3360.592428	0.051809374	0.076976549	0.488299757	0.656551398	Dlat	chr9	50664770	50665181	Exon (ENSMUST00000034566/ENSMUSG00000032064, exon 1 of 20)	9	50634633	50659780	25148	2	ENSMUST00000034567	-4991	ENSMUSG00000000168	Shared
