Chrom	Start	End	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr3	108144353	108146515	Promoter (<=1kb)	3	108107280	108146146	38867	2	ENSMUST00000000001	0	ENSMUSG00000000001	ENSMUSG00000000001
chr16	18811301	18813538	Promoter (<=1kb)	16	18780447	18811972	31526	2	ENSMUST00000000028	0	ENSMUSG00000000028	ENSMUSG00000000028
chr11	108341622	108343820	Promoter (<=1kb)	11	108343354	108395905	52552	1	ENSMUST00000133383	0	ENSMUSG00000000049	ENSMUSG00000000049
chr11	121237271	121238273	Promoter (<=1kb)	11	121237253	121255856	18604	1	ENSMUST00000103015	19	ENSMUSG00000000056	ENSMUSG00000000056
chr13	5860648	5861122	Promoter (<=1kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	-367	ENSMUSG00000000078	ENSMUSG00000000078
chr13	5861492	5863922	Promoter (<=1kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	4	ENSMUSG00000000078	ENSMUSG00000000078
chr4	120405351	120406748	Promoter (<=1kb)	4	120405366	120463119	57754	1	ENSMUST00000151345	0	ENSMUSG00000000085	ENSMUSG00000000085
chr9	57520734	57523478	Promoter (<=1kb)	9	57521232	57532424	11193	1	ENSMUST00000000090	0	ENSMUSG00000000088	ENSMUSG00000000088
chr11	59306602	59307974	Promoter (<=1kb)	11	59306928	59333552	26625	1	ENSMUST00000000128	0	ENSMUSG00000000126	ENSMUSG00000000126
chr11	108920547	108923930	Promoter (<=1kb)	11	108920800	108923583	2784	1	ENSMUST00000140821	0	ENSMUSG00000000142	ENSMUSG00000000142
chr5	140704489	140704778	Promoter (<=1kb)	5	140705011	140719379	14369	1	ENSMUST00000041588	-233	ENSMUSG00000000148	ENSMUSG00000000148
chr5	140705014	140705663	Promoter (<=1kb)	5	140705023	140719173	14151	1	ENSMUST00000153440	0	ENSMUSG00000000148	ENSMUSG00000000148
chr5	140829418	140830456	Promoter (<=1kb)	5	140758408	140830431	72024	2	ENSMUST00000000153	0	ENSMUSG00000000149	ENSMUSG00000000149
chr9	50616085	50617945	Promoter (<=1kb)	9	50617321	50624997	7677	1	ENSMUST00000000171	0	ENSMUSG00000000167	ENSMUSG00000000167
chr9	50658372	50659881	Promoter (<=1kb)	9	50634633	50659780	25148	2	ENSMUST00000034567	0	ENSMUSG00000000168	ENSMUSG00000000168
chr9	50602839	50604801	Promoter (<=1kb)	9	50596338	50603849	7512	2	ENSMUST00000000175	0	ENSMUSG00000000171	ENSMUSG00000000171
chr6	127080037	127080372	Exon (ENSMUST00000000186/ENSMUSG00000000182, exon 3 of 3)	6	127072902	127081408	8507	1	ENSMUST00000000186	7136	ENSMUSG00000000182	ENSMUSG00000000182
chr6	127147959	127151164	Promoter (<=1kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	0	ENSMUSG00000000184	ENSMUSG00000000184
chr2	31151531	31153390	Promoter (<=1kb)	2	31152316	31218775	66460	1	ENSMUST00000056433	0	ENSMUSG00000000194	ENSMUSG00000000194
chr2	38338779	38342422	Promoter (<=1kb)	2	38339281	38369199	29919	1	ENSMUST00000143783	0	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38342888	38343424	Promoter (1-2kb)	2	38341092	38354825	13734	1	ENSMUST00000133661	1797	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38345914	38347490	Intron (ENSMUST00000143783/ENSMUSG00000000247, intron 1 of 4)	2	38350759	38369733	18975	1	ENSMUST00000000253	-3269	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38349773	38350889	Promoter (<=1kb)	2	38350759	38369733	18975	1	ENSMUST00000000253	0	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38351140	38353757	Promoter (<=1kb)	2	38351768	38354631	2864	1	ENSMUST00000176229	0	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38353965	38356289	Promoter (<=1kb)	2	38353802	38360089	6288	1	ENSMUST00000175896	164	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38356769	38359153	Promoter (2-3kb)	2	38353802	38360089	6288	1	ENSMUST00000175896	2968	ENSMUSG00000000247	ENSMUSG00000000247
chr11	89058930	89060668	Promoter (<=1kb)	11	89037582	89060748	23167	2	ENSMUST00000000285	80	ENSMUSG00000000276	ENSMUSG00000000276
chr11	88954425	88955406	Promoter (<=1kb)	11	88924020	88955465	31446	2	ENSMUST00000000287	59	ENSMUSG00000000278	ENSMUSG00000000278
chr11	74829640	74832224	Promoter (<=1kb)	11	74830920	74845725	14806	1	ENSMUST00000000291	0	ENSMUSG00000000282	ENSMUSG00000000282
chr11	74832456	74833446	Promoter (1-2kb)	11	74830920	74845725	14806	1	ENSMUST00000000291	1537	ENSMUSG00000000282	ENSMUSG00000000282
chr11	74837657	74838467	Promoter (<=1kb)	11	74837468	74843775	6308	1	ENSMUST00000132150	190	ENSMUSG00000000282	ENSMUSG00000000282
chr10	31445398	31446125	Promoter (<=1kb)	10	31332380	31445921	113542	2	ENSMUST00000000305	0	ENSMUSG00000000296	ENSMUSG00000000296
chr11	60045787	60046469	Promoter (<=1kb)	11	59970614	60046477	75864	2	ENSMUST00000000310	8	ENSMUSG00000000301	ENSMUSG00000000301
