Chrom	Start	End	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr13	5855508	5858092	cluster_1	Distal Intergenic	13	5861489	5870393	8905	1	ENSMUST00000000080	-3397	ENSMUSG00000000078	ENSMUSG00000000078
chr11	85832614	85841948	cluster_1	Promoter (<=1kb)	11	85832551	85841948	9398	1	ENSMUST00000000095	64	ENSMUSG00000000093	ENSMUSG00000000093
chr11	59306929	59333552	cluster_1	Promoter (<=1kb)	11	59306930	59333552	26623	1	ENSMUST00000108783	0	ENSMUSG00000000126	ENSMUSG00000000126
chr11	108920348	108950781	cluster_1	Promoter (<=1kb)	11	108920349	108950783	30435	1	ENSMUST00000052915	0	ENSMUSG00000000142	ENSMUSG00000000142
chr9	50596339	50603849	cluster_1	Promoter (<=1kb)	9	50596338	50603849	7512	2	ENSMUST00000000175	0	ENSMUSG00000000171	ENSMUSG00000000171
chr6	127149388	127212419	cluster_1	Promoter (<=1kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	0	ENSMUSG00000000184	ENSMUSG00000000184
chr6	127125708	127151048	cluster_1	Promoter (<=1kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	0	ENSMUSG00000000184	ENSMUSG00000000184
chr13	45507443	45546386	cluster_1	Promoter (<=1kb)	13	45507444	45546382	38939	1	ENSMUST00000000260	0	ENSMUSG00000000253	ENSMUSG00000000253
chr2	121358640	121363737	cluster_1	Promoter (<=1kb)	2	121358656	121360985	2330	1	ENSMUST00000126130	0	ENSMUSG00000000308	ENSMUSG00000000308
chr11	70224126	70229798	cluster_1	Promoter (<=1kb)	11	70224128	70229739	5612	2	ENSMUST00000000326	0	ENSMUSG00000000317	ENSMUSG00000000317
chr15	100614139	100615110	cluster_1	Promoter (<=1kb)	15	100615628	100620731	5104	1	ENSMUST00000000356	-518	ENSMUSG00000000346	ENSMUSG00000000346
