.	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	Chrom	Start	End	DIV11	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	FOXG1_unique
ENSMUSG00000000001	4606.130526	-0.544408971	0.085219551	3.9694E-11	1.78438E-09	Gnai3	chr3	108145216	108145591	DIV11	Promoter (<=1kb)	3	108107280	108146146	38867	2	ENSMUST00000000001	555	ENSMUSG00000000001	FOXG1_unique
ENSMUSG00000000028	223.2762626	0.023061597	0.193132983	0.884629167	0.936625323	Cdc45	chr16	18811446	18812279	DIV11	Promoter (<=1kb)	16	18780447	18811972	31526	2	ENSMUST00000000028	0	ENSMUSG00000000028	FOXG1_unique
ENSMUSG00000000049	24.48412145	0.050976493	0.291956001	0.707138088	0.827100109	Apoh	chr11	108263118	108263386	DIV11	Intron (ENSMUST00000059595/ENSMUSG00000050965, intron 2 of 16)	11	108343354	108395905	52552	1	ENSMUST00000133383	-79968	ENSMUSG00000000049	FOXG1_unique
ENSMUSG00000000056	3013.923184	-0.941207336	0.151692425	5.30718E-11	2.32883E-09	Narf	chr11	121236464	121236973	DIV11	Promoter (<=1kb)	11	121237253	121255856	18604	1	ENSMUST00000103015	-280	ENSMUSG00000000056	FOXG1_unique
ENSMUSG00000000058	3295.468212	-0.205592446	0.102894267	0.035919444	0.106090588	Cav2	chr6	17273416	17273600	DIV11	Intron (ENSMUST00000131334/ENSMUSG00000085264, intron 1 of 4)	6	17281185	17289115	7931	1	ENSMUST00000000058	-7585	ENSMUSG00000000058	FOXG1_unique
ENSMUSG00000000078	2860.97596	-0.552593493	0.110111255	1.76444E-07	3.44526E-06	Klf6	chr13	5610006	5610417	DIV11	Distal Intergenic	13	5861489	5870393	8905	1	ENSMUST00000000080	-251072	ENSMUSG00000000078	FOXG1_unique
ENSMUSG00000000085	2000.170819	0.208018285	0.1528572	0.126711242	0.267116108	Scmh1	chr4	120362338	120362522	DIV11	Distal Intergenic	4	120405281	120454515	49235	1	ENSMUST00000134375	-42759	ENSMUSG00000000085	FOXG1_unique
ENSMUSG00000000088	6435.757027	0.017050784	0.12327623	0.849742243	0.917503728	Cox5a	chr9	57520562	57521306	DIV11	Promoter (<=1kb)	9	57521232	57532424	11193	1	ENSMUST00000000090	0	ENSMUSG00000000088	FOXG1_unique
ENSMUSG00000000093	225.4866397	0.308995773	0.200184899	0.05928326	0.155040862	Tbx2	chr11	85833712	85834089	DIV11	Promoter (1-2kb)	11	85832551	85841948	9398	1	ENSMUST00000000095	1162	ENSMUSG00000000093	FOXG1_unique
ENSMUSG00000000094	14.84654916	-0.217310015	0.420600221	0.045809128	0.127360191	Tbx4	chr11	85900836	85901020	DIV11	Intron (ENSMUST00000108047/ENSMUSG00000000094, intron 5 of 8)	11	85896765	85916095	19331	1	ENSMUST00000108045	4072	ENSMUSG00000000094	FOXG1_unique
ENSMUSG00000000120	534.6307449	-0.76524993	0.231411019	0.000121408	0.001026739	Ngfr	chr11	95586293	95586615	DIV11	Promoter (1-2kb)	11	95568818	95587735	18918	2	ENSMUST00000000122	1120	ENSMUSG00000000120	FOXG1_unique
ENSMUSG00000000126	1895.820431	-0.187258231	0.089162877	0.028695396	0.089428311	Wnt9a	chr11	59300322	59300518	DIV11	Distal Intergenic	11	59306928	59333552	26625	1	ENSMUST00000000128	-6410	ENSMUSG00000000126	FOXG1_unique
ENSMUSG00000000127	1188.739575	-0.086608605	0.10114538	0.354896154	0.537003089	Fer	chr17	63956981	63957165	DIV11	5' UTR	17	63937972	64139494	201523	1	ENSMUST00000038080	19010	ENSMUSG00000000127	FOXG1_unique
ENSMUSG00000000131	3789.972791	-0.313888268	0.087080565	0.000188619	0.001493378	Xpo6	chr7	126126108	126126414	DIV11	Intron (ENSMUST00000168189/ENSMUSG00000000131, intron 12 of 23)	7	126104757	126112893	8137	2	ENSMUST00000165608	-13216	ENSMUSG00000000131	FOXG1_unique
ENSMUSG00000000142	1584.227079	-0.461158559	0.168175887	0.001821222	0.009994981	Axin2	chr11	108880701	108880885	DIV11	Distal Intergenic	11	108920349	108950783	30435	1	ENSMUST00000052915	-39464	ENSMUSG00000000142	FOXG1_unique
ENSMUSG00000000148	1732.300065	-0.207856698	0.091057619	0.017131977	0.059814078	Brat1	chr5	140704516	140705545	DIV11	Promoter (<=1kb)	5	140705011	140719379	14369	1	ENSMUST00000041588	0	ENSMUSG00000000148	FOXG1_unique
ENSMUSG00000000149	5823.215343	-0.407099327	0.141664981	0.001294853	0.007524728	Gna12	chr5	140799456	140799658	DIV11	Intron (ENSMUST00000000153/ENSMUSG00000000149, intron 1 of 3)	5	140758408	140830431	72024	2	ENSMUST00000000153	30773	ENSMUSG00000000149	FOXG1_unique
ENSMUSG00000000157	2.062078455	0.048265278	0.331956977	0.27637525	.	Itgb2l	chr16	96444483	96444972	DIV11	Promoter (<=1kb)	16	96422288	96443619	21332	2	ENSMUST00000000161	-865	ENSMUSG00000000157	FOXG1_unique
ENSMUSG00000000159	2.445756219	0.005567803	0.317627193	0.946069749	.	Igsf5	chr16	96345465	96345756	DIV11	Distal Intergenic	16	96361668	96422121	60454	1	ENSMUST00000113794	-15912	ENSMUSG00000000159	FOXG1_unique
ENSMUSG00000000167	309.1269235	0.132022777	0.229220206	0.433997974	0.610397345	Pih1d2	chr9	50617281	50617627	DIV11	Promoter (<=1kb)	9	50617321	50624997	7677	1	ENSMUST00000000171	0	ENSMUSG00000000167	FOXG1_unique
ENSMUSG00000000168	3360.592428	0.051809374	0.076976549	0.488299757	0.656551398	Dlat	chr9	50658595	50659034	DIV11	Promoter (<=1kb)	9	50634633	50659780	25148	2	ENSMUST00000034567	746	ENSMUSG00000000168	FOXG1_unique
ENSMUSG00000000171	6056.173625	0.362634485	0.081651526	4.50881E-06	6.11728E-05	Sdhd	chr9	50603612	50604119	DIV11	Promoter (<=1kb)	9	50596338	50603849	7512	2	ENSMUST00000000175	0	ENSMUSG00000000171	FOXG1_unique
ENSMUSG00000000182	9.744757855	0.137037214	0.331353669	0.305699915	0.487543644	Fgf23	chr6	127079801	127080351	DIV11	Exon (ENSMUST00000000186/ENSMUSG00000000182, exon 3 of 3)	6	127072902	127081408	8507	1	ENSMUST00000000186	6900	ENSMUSG00000000182	FOXG1_unique
ENSMUSG00000000184	39256.45825	-0.661545433	0.187447369	7.18355E-05	0.000658731	Ccnd2	chr6	127133738	127133922	DIV11	Intron (ENSMUST00000000188/ENSMUSG00000000184, intron 4 of 4)	6	127125779	127151048	25270	2	ENSMUST00000000188	17126	ENSMUSG00000000184	FOXG1_unique
ENSMUSG00000000194	4403.066644	-0.648036451	0.092297208	4.65616E-13	3.00925E-11	Gpr107	chr2	31155774	31155958	DIV11	Intron (ENSMUST00000056433/ENSMUSG00000000194, intron 1 of 17)	2	31152351	31192113	39763	1	ENSMUST00000172422	3424	ENSMUSG00000000194	FOXG1_unique
ENSMUSG00000000197	2912.565959	0.094276694	0.15823599	0.510738933	0.675188726	Nalcn	chr14	123372054	123372282	DIV11	Intron (ENSMUST00000000201/ENSMUSG00000000197, intron 15 of 43)	14	123276641	123627144	350504	2	ENSMUST00000000201	254862	ENSMUSG00000000197	FOXG1_unique
ENSMUSG00000000202	315.2770553	0.148621077	0.198557557	0.348211957	0.530619939	Btbd17	chr11	114792470	114792815	DIV11	Exon (ENSMUST00000156053/ENSMUSG00000000202, exon 1 of 2)	11	114791217	114795873	4657	2	ENSMUST00000156053	3058	ENSMUSG00000000202	FOXG1_unique
ENSMUSG00000000215	246.1757653	0.068216126	0.260923376	0.675920952	0.804637494	Ins2	chr7	142685075	142685262	DIV11	Intron (ENSMUST00000105934/ENSMUSG00000000215, intron 1 of 2)	7	142678659	142679726	1068	2	ENSMUST00000000220	-5350	ENSMUSG00000000215	FOXG1_unique
ENSMUSG00000000216	3.249681133	-0.174497439	0.376922162	0.102047813	.	Scnn1g	chr7	121734098	121734929	DIV11	Promoter (<=1kb)	7	121734479	121768475	33997	1	ENSMUST00000000221	0	ENSMUSG00000000216	FOXG1_unique
ENSMUSG00000000247	6008.342447	-0.218904903	0.099855594	0.020667805	0.06943847	Lhx2	chr2	38339880	38340385	DIV11	Promoter (<=1kb)	2	38339488	38353693	14206	1	ENSMUST00000149664	393	ENSMUSG00000000247	FOXG1_unique
ENSMUSG00000000253	1290.068143	0.336134837	0.126118935	0.003821579	0.018293117	Gmpr	chr13	45508367	45508817	DIV11	Promoter (<=1kb)	13	45507444	45546382	38939	1	ENSMUST00000000260	924	ENSMUSG00000000253	FOXG1_unique
ENSMUSG00000000275	769.4536205	-0.051190307	0.115685311	0.617213818	0.760761536	Trim25	chr11	89022593	89022894	DIV11	Distal Intergenic	11	88999376	89020293	20918	1	ENSMUST00000107896	23218	ENSMUSG00000000275	FOXG1_unique
ENSMUSG00000000278	4202.941257	0.379327557	0.194865023	0.020180373	0.068151714	Scpep1	chr11	88954946	88955222	DIV11	Promoter (<=1kb)	11	88924020	88955465	31446	2	ENSMUST00000000287	243	ENSMUSG00000000278	FOXG1_unique
ENSMUSG00000000282	2264.118533	0.396934317	0.138678583	0.001575256	0.008868868	Mnt	chr11	74822895	74823120	DIV11	3' UTR	11	74830920	74845725	14806	1	ENSMUST00000000291	-7800	ENSMUSG00000000282	FOXG1_unique
ENSMUSG00000000295	723.4949093	-0.095427643	0.137641337	0.461956582	0.634284918	Hddc2	chr10	31313362	31313602	DIV11	Promoter (<=1kb)	10	31313382	31328204	14823	1	ENSMUST00000000304	0	ENSMUSG00000000295	FOXG1_unique
ENSMUSG00000000296	540.4532135	-0.211540062	0.196050387	0.176812231	0.337459631	Tpd52l1	chr10	31420555	31420825	DIV11	Intron (ENSMUST00000000305/ENSMUSG00000000296, intron 1 of 6)	10	31332380	31445921	113542	2	ENSMUST00000000305	25096	ENSMUSG00000000296	FOXG1_unique
ENSMUSG00000000301	152.5968507	0.039930004	0.159200973	0.77535825	0.870791539	Pemt	chr11	60014974	60015384	DIV11	Intron (ENSMUST00000102692/ENSMUSG00000000301, intron 2 of 6)	11	59976859	60021226	44368	2	ENSMUST00000143646	5842	ENSMUSG00000000301	FOXG1_unique
ENSMUSG00000000303	9.007238638	0.200211044	0.411058938	0.023823426	0.077704747	Cdh1	chr8	106603331	106603579	DIV11	Promoter (<=1kb)	8	106603351	106670246	66896	1	ENSMUST00000000312	0	ENSMUSG00000000303	FOXG1_unique
