Chrom	Start	End	region_61393	X0.0	X.	X8443946.1	X8444147.1	X0	X1	X201	X8443938	cluster_1	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr3	108145295	108145496	region_117306	0	+	108145295	108145496	0	1	201	108145294	cluster_1	Promoter (<=1kb)	3	108107280	108146146	38867	2	ENSMUST00000000001	650	ENSMUSG00000000001	ENSMUSG00000000001
chr3	108145880	108146081	region_117307	0	+	108145880	108146081	0	1	201	108145879	cluster_1	Promoter (<=1kb)	3	108107280	108146146	38867	2	ENSMUST00000000001	65	ENSMUSG00000000001	ENSMUSG00000000001
chr16	18811861	18812062	region_70344	0	+	18811861	18812062	0	1	201	18811860	cluster_1	Promoter (<=1kb)	16	18780447	18811972	31526	2	ENSMUST00000000028	0	ENSMUSG00000000028	ENSMUSG00000000028
chr11	108342021	108342222	region_33616	0	+	108342021	108342222	0	1	201	108342020	cluster_1	Promoter (1-2kb)	11	108343354	108395905	52552	1	ENSMUST00000133383	-1132	ENSMUSG00000000049	ENSMUSG00000000049
chr11	108343064	108343265	region_33617	0	+	108343064	108343265	0	1	201	108343063	cluster_1	Promoter (<=1kb)	11	108343354	108395905	52552	1	ENSMUST00000133383	-89	ENSMUSG00000000049	ENSMUSG00000000049
chr11	121237262	121237463	region_34969	0	+	121237262	121237463	0	1	201	121237261	cluster_1	Promoter (<=1kb)	11	121237253	121255856	18604	1	ENSMUST00000103015	10	ENSMUSG00000000056	ENSMUSG00000000056
chr11	121236728	121236929	region_34968	0	+	121236728	121236929	0	1	201	121236727	cluster_1	Promoter (<=1kb)	11	121237253	121255856	18604	1	ENSMUST00000103015	-324	ENSMUSG00000000056	ENSMUSG00000000056
chr13	5863133	5863334	region_43812	0	+	5863133	5863334	0	1	201	5863128	cluster_1	Promoter (1-2kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	1645	ENSMUSG00000000078	ENSMUSG00000000078
chr13	5861514	5861715	region_43811	0	+	5861514	5861715	0	1	201	5861509	cluster_1	Promoter (<=1kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	26	ENSMUSG00000000078	ENSMUSG00000000078
chr4	120404871	120405072	region_129407	0	+	120404871	120405072	0	1	201	120404870	cluster_1	Promoter (<=1kb)	4	120405281	120454515	49235	1	ENSMUST00000134375	-209	ENSMUSG00000000085	ENSMUSG00000000085
chr9	57520629	57520830	region_178926	0	+	57520629	57520830	0	1	201	57520624	cluster_1	Promoter (<=1kb)	9	57521232	57532424	11193	1	ENSMUST00000000090	-402	ENSMUSG00000000088	ENSMUSG00000000088
chr9	57521602	57521803	region_178927	0	+	57521602	57521803	0	1	201	57521597	cluster_1	Promoter (<=1kb)	9	57521232	57532424	11193	1	ENSMUST00000000090	371	ENSMUSG00000000088	ENSMUSG00000000088
chr11	85833789	85833990	region_31467	0	+	85833789	85833990	0	1	201	85833781	cluster_1	Promoter (1-2kb)	11	85832551	85841948	9398	1	ENSMUST00000000095	1239	ENSMUSG00000000093	ENSMUSG00000000093
chr11	95587329	95587530	region_32242	0	+	95587329	95587530	0	1	201	95587320	cluster_1	Promoter (<=1kb)	11	95568818	95587735	18918	2	ENSMUST00000000122	205	ENSMUSG00000000120	ENSMUSG00000000120
chr11	95586316	95586517	region_32241	0	+	95586316	95586517	0	1	201	95586307	cluster_1	Promoter (1-2kb)	11	95568818	95587735	18918	2	ENSMUST00000000122	1218	ENSMUSG00000000120	ENSMUSG00000000120
chr11	59309986	59310187	region_28823	0	+	59309986	59310187	0	1	201	59309981	cluster_1	Intron (ENSMUST00000000128/ENSMUSG00000000126, intron 1 of 3)	11	59306930	59333552	26623	1	ENSMUST00000108783	3057	ENSMUSG00000000126	ENSMUSG00000000126
chr11	59307736	59307937	region_28821	0	+	59307736	59307937	0	1	201	59307731	cluster_1	Promoter (<=1kb)	11	59306930	59333552	26623	1	ENSMUST00000108783	807	ENSMUSG00000000126	ENSMUSG00000000126
chr11	108923099	108923300	region_33661	0	+	108923099	108923300	0	1	201	108923098	cluster_1	Promoter (<=1kb)	11	108923181	108949511	26331	1	ENSMUST00000106711	0	ENSMUSG00000000142	ENSMUSG00000000142
chr5	140705049	140705250	region_142775	0	+	140705049	140705250	0	1	201	140705048	cluster_1	Promoter (<=1kb)	5	140705050	140715935	10886	1	ENSMUST00000131905	0	ENSMUSG00000000148	ENSMUSG00000000148
chr9	50617346	50617547	region_178271	0	+	50617346	50617547	0	1	201	50617341	cluster_1	Promoter (<=1kb)	9	50617383	50625000	7618	1	ENSMUST00000132187	0	ENSMUSG00000000167	ENSMUSG00000000167
chr9	50658874	50659075	region_178272	0	+	50658874	50659075	0	1	201	50658869	cluster_1	Promoter (<=1kb)	9	50634633	50659780	25148	2	ENSMUST00000034567	705	ENSMUSG00000000168	ENSMUSG00000000168
chr9	50659532	50659733	region_178273	0	+	50659532	50659733	0	1	201	50659527	cluster_1	Promoter (<=1kb)	9	50634633	50659780	25148	2	ENSMUST00000034567	47	ENSMUSG00000000168	ENSMUSG00000000168
chr9	50603678	50603879	region_178270	0	+	50603678	50603879	0	1	201	50603673	cluster_1	Promoter (<=1kb)	9	50596338	50603849	7512	2	ENSMUST00000000175	0	ENSMUSG00000000171	ENSMUSG00000000171
chr6	127080068	127080269	region_152974	0	+	127080068	127080269	0	1	201	127080067	cluster_1	Exon (ENSMUST00000000186/ENSMUSG00000000182, exon 3 of 3)	6	127072902	127081408	8507	1	ENSMUST00000000186	7167	ENSMUSG00000000182	ENSMUSG00000000182
chr6	127147671	127147872	region_152985	0	+	127147671	127147872	0	1	201	127147670	cluster_1	Intron (ENSMUST00000000188/ENSMUSG00000000184, intron 2 of 4)	6	127125779	127151048	25270	2	ENSMUST00000000188	3176	ENSMUSG00000000184	ENSMUSG00000000184
chr6	127152121	127152322	region_152990	0	+	127152121	127152322	0	1	201	127152120	cluster_1	Promoter (1-2kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	-1074	ENSMUSG00000000184	ENSMUSG00000000184
chr6	127150323	127150524	region_152988	0	+	127150323	127150524	0	1	201	127150322	cluster_1	Promoter (<=1kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	524	ENSMUSG00000000184	ENSMUSG00000000184
chr6	127151695	127151896	region_152989	0	+	127151695	127151896	0	1	201	127151694	cluster_1	Promoter (<=1kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	-648	ENSMUSG00000000184	ENSMUSG00000000184
chr6	127152592	127152793	region_152991	0	+	127152592	127152793	0	1	201	127152591	cluster_1	Promoter (1-2kb)	6	127125779	127151048	25270	2	ENSMUST00000000188	-1545	ENSMUSG00000000184	ENSMUSG00000000184
chr2	31152291	31152492	region_97557	0	+	31152291	31152492	0	1	201	31152288	cluster_1	Promoter (<=1kb)	2	31152316	31218775	66460	1	ENSMUST00000056433	0	ENSMUSG00000000194	ENSMUSG00000000194
chr14	123626448	123626649	region_61023	0	+	123626448	123626649	0	1	201	123626447	cluster_1	Promoter (<=1kb)	14	123276641	123627144	350504	2	ENSMUST00000000201	495	ENSMUSG00000000197	ENSMUSG00000000197
chr14	123626940	123627141	region_61024	0	+	123626940	123627141	0	1	201	123626939	cluster_1	Promoter (<=1kb)	14	123276641	123627144	350504	2	ENSMUST00000000201	3	ENSMUSG00000000197	ENSMUSG00000000197
chr11	114792519	114792720	region_34191	0	+	114792519	114792720	0	1	201	114792518	cluster_1	Exon (ENSMUST00000156053/ENSMUSG00000000202, exon 1 of 2)	11	114791217	114795873	4657	2	ENSMUST00000156053	3153	ENSMUSG00000000202	ENSMUSG00000000202
chrX	134404115	134404316	region_187111	0	+	134404115	134404316	0	1	201	134404114	cluster_1	Promoter (<=1kb)	20	134404551	134452700	48150	1	ENSMUST00000113228	-235	ENSMUSG00000000223	ENSMUSG00000000223
chr2	38348783	38348984	region_98168	0	+	38348783	38348984	0	1	201	38348780	cluster_1	Promoter (1-2kb)	2	38350759	38369733	18975	1	ENSMUST00000000253	-1775	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38354628	38354829	region_98171	0	+	38354628	38354829	0	1	201	38354625	cluster_1	Promoter (<=1kb)	2	38353802	38360089	6288	1	ENSMUST00000175896	827	ENSMUSG00000000247	ENSMUSG00000000247
