chr	start	end	peakID	baseMean	log2FoldChange	pvalue	padj	geneID	symbol	Annotation_homer	homer_genes
3	134828422	134832665	3_134828422_134832665	167.473597007222	-1.71902534192092	7.043222730267941e-15	8.54483781636107e-11			intron	ENSMUSG00000028172.5
15	11902749	11907328	15_11902749_11907328	282.009725270219	-0.972428483889115	1.51235129102741e-09	9.17392293137225e-06	ENSMUSG00000022206.7	Npr3	exon	ENSMUSG00000022206.7
15	11902749	11907328	15_11902749_11907328	282.009725270219	-0.972428483889115	1.51235129102741e-09	9.17392293137225e-06	ENSMUSG00000115240.1	RP23-159M8.4	exon	ENSMUSG00000022206.7
8	94266710	94269579	8_94266710_94269579	205.76848103325298	-0.9806780595557271	9.76436266782289e-08	0.00039487082628675697	ENSMUSG00000032939.14	Nup93	promoter-TSS	ENSMUSG00000032939.14
3	68571779	68577113	3_68571779_68577113	495.847387598294	-0.65828994134755	2.4754485391766e-07	0.0006070181228266231	ENSMUSG00000102422.1	RP24-100C12.5	intron	ENSMUSG00000027777.15
3	68571779	68577113	3_68571779_68577113	495.847387598294	-0.65828994134755	2.4754485391766e-07	0.0006070181228266231	ENSMUSG00000027777.15	Schip1	intron	ENSMUSG00000027777.15
19	8837159	8841049	19_8837159_8841049	298.569236592875	-0.787946342936271	2.50172322299136e-07	0.0006070181228266231	ENSMUSG00000071658.4	Gng3	promoter-TSS	ENSMUSG00000071657.12
19	8837159	8841049	19_8837159_8841049	298.569236592875	-0.787946342936271	2.50172322299136e-07	0.0006070181228266231	ENSMUSG00000071657.12	Bscl2	promoter-TSS	ENSMUSG00000071657.12
5	63648991	63652295	5_63648991_63652295	216.75752038532102	-0.919150296461382	3.98581660339525e-07	0.000805932117206519	ENSMUSG00000090061.9	Nwd2	promoter-TSS	ENSMUSG00000104868.1
5	63648991	63652295	5_63648991_63652295	216.75752038532102	-0.919150296461382	3.98581660339525e-07	0.000805932117206519	ENSMUSG00000104868.1	RP23-37I24.1	promoter-TSS	ENSMUSG00000104868.1
2	82052276	82056417	2_82052276_82056417	327.461699203604	-0.678582443130264	9.5422130207119e-07	0.00165380183381824	ENSMUSG00000070866.4	Zfp804a	intron	ENSMUSG00000070866.4
8	128370402	128371848	8_128370402_128371848	59.710319329980706	-1.7064860236393797	1.3479852065200301e-06	0.00204421956568762	ENSMUSG00000025810.9	Nrp1	intron	ENSMUSG00000025810.9
11	35121172	35124595	11_35121172_35124595	215.64116781799098	-0.903697838064284	1.52109285320386e-06	0.00205043316611881			intron	ENSMUSG00000056427.10
18	34859066	34862541	18_34859066_34862541	450.421670016322	0.554046623774626	2.50388912727981e-06	0.00303771828921587	ENSMUSG00000038418.7	Egr1	promoter-TSS	ENSMUSG00000038418.7
13	83712932	83744722	13_83712932_83744722	3760.09373030677	-0.18502172075564702	6.3721647025615e-06	0.00644225851428968	ENSMUSG00000050334.12	RP23-88A13.2	intron	ENSMUSG00000050334.12
13	83712932	83744722	13_83712932_83744722	3760.09373030677	-0.18502172075564702	6.3721647025615e-06	0.00644225851428968	ENSMUSG00000102969.1	RP23-88A13.4	intron	ENSMUSG00000050334.12
13	83712932	83744722	13_83712932_83744722	3760.09373030677	-0.18502172075564702	6.3721647025615e-06	0.00644225851428968	ENSMUSG00000065424.2	Mir9-2	intron	ENSMUSG00000050334.12
1	3666550	3673390	1_3666550_3673390	506.71272592245793	-0.494063617814052	6.0587691700462405e-06	0.00644225851428968			intron	ENSMUSG00000051951.5
13	83712932	83744722	13_83712932_83744722	3760.09373030677	-0.18502172075564702	6.3721647025615e-06	0.00644225851428968	ENSMUSG00000097265.1	RP23-88A13.3	intron	ENSMUSG00000050334.12
14	25456876	25462375	14_25456876_25462375	461.53691668696604	0.5575278931836739	7.45566425276788e-06	0.0069578552857369105	ENSMUSG00000007817.15	Zmiz1	promoter-TSS	ENSMUSG00000114709.1
14	25456876	25462375	14_25456876_25462375	461.53691668696604	0.5575278931836739	7.45566425276788e-06	0.0069578552857369105	ENSMUSG00000087535.2	Zmiz1os1	promoter-TSS	ENSMUSG00000114709.1
14	25456876	25462375	14_25456876_25462375	461.53691668696604	0.5575278931836739	7.45566425276788e-06	0.0069578552857369105	ENSMUSG00000114709.1	RP24-573N21.4	promoter-TSS	ENSMUSG00000114709.1
16	46487644	46490157	16_46487644_46490157	92.96862286144699	-1.14907527368478	8.93705846997064e-06	0.00774459952554885	ENSMUSG00000022656.15	Nectin3	intron	ENSMUSG00000022656.15
5	104109706	104113512	5_104109706_104113512	218.402652530851	-0.7418989942662739	1.0440539146642599e-05	0.00844430806180457	ENSMUSG00000029309.7	Sparcl1	TTS	ENSMUSG00000097877.2
5	104109706	104113512	5_104109706_104113512	218.402652530851	-0.7418989942662739	1.0440539146642599e-05	0.00844430806180457	ENSMUSG00000097877.2	RP23-102H7.11	TTS	ENSMUSG00000097877.2
1	66320884	66325645	1_66320884_66325645	372.092826644928	-0.553575287997544	1.25388638029206e-05	0.00950759347856451	ENSMUSG00000073656.4	AC091465.2	TTS	ENSMUSG00000015222.17
1	66320884	66325645	1_66320884_66325645	372.092826644928	-0.553575287997544	1.25388638029206e-05	0.00950759347856451	ENSMUSG00000015222.17	Map2	TTS	ENSMUSG00000015222.17
