Chrom	Start	End	X3_134828422_134832665	X167.473597007222	X.1.71902534192092	X7.043222730267941e.15	X8.54483781636107e.11	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr4	116403302	116406664	4_116403302_116406664	224.660885875676	-0.622025697858994	9.42653355303827e-05	0.0285906762663651	Promoter (<=1kb)	4	116322434	116405986	83553	2	ENSMUST00000123072	0	ENSMUSG00000003810	ENSMUSG00000003810
chr14	31777394	31781876	14_31777394_31781876	337.588714217475	-0.586901324063397	2.15034072614916e-05	0.012422825566496	Exon (ENSMUST00000014640/ENSMUSG00000014496, exon 27 of 28)	14	31700015	31830415	130401	2	ENSMUST00000014640	48539	ENSMUSG00000014496	ENSMUSG00000014496
chr1	66320884	66325645	1_66320884_66325645	372.092826644928	-0.553575287997544	1.25388638029206e-05	0.00950759347856451	Promoter (<=1kb)	1	66321719	66439188	117470	1	ENSMUST00000114013	0	ENSMUSG00000015222	ENSMUSG00000015222
chr1	66320884	66325645	1_66320884_66325645	372.092826644928	-0.553575287997544	1.25388638029206e-05	0.00950759347856451	Promoter (<=1kb)	1	66321719	66439188	117470	1	ENSMUST00000114013	0	ENSMUSG00000015222	ENSMUSG00000015222
chr10	101681678	101684013	10_101681678_101684013	142.914532402792	-1.03278070893859	1.4942747293704e-05	0.00971619895635919	Promoter (<=1kb)	10	101681746	102385088	703343	1	ENSMUST00000156751	0	ENSMUSG00000019888	ENSMUSG00000019888
chr12	70108768	70112311	12_70108768_70112311	311.019504714299	-0.58518275801982	2.79816414056687e-05	0.014759707544938	Promoter (<=1kb)	12	70018740	70111925	93186	2	ENSMUST00000021468	0	ENSMUSG00000021068	ENSMUSG00000021068
chr15	11902749	11907328	15_11902749_11907328	282.009725270219	-0.972428483889115	1.51235129102741e-09	9.17392293137225e-06	Promoter (<=1kb)	15	11839896	11905674	65779	2	ENSMUST00000066529	0	ENSMUSG00000022206	ENSMUSG00000022206
chr15	11902749	11907328	15_11902749_11907328	282.009725270219	-0.972428483889115	1.51235129102741e-09	9.17392293137225e-06	Promoter (<=1kb)	15	11839896	11905674	65779	2	ENSMUST00000066529	0	ENSMUSG00000022206	ENSMUSG00000022206
chr15	45112404	45115363	15_45112404_45115363	172.128370295821	-0.758210856216651	0.000222209433571736	0.0449307474682051	Promoter (<=1kb)	15	45106284	45114934	8651	2	ENSMUST00000022967	0	ENSMUSG00000022342	ENSMUSG00000022342
chr16	46487644	46490157	16_46487644_46490157	92.968622861447	-1.14907527368478	8.93705846997064e-06	0.00774459952554885	Intron (ENSMUST00000023335/ENSMUSG00000022656, intron 1 of 8)	16	46454662	46496772	42111	2	ENSMUST00000149901	6615	ENSMUSG00000022656	ENSMUSG00000022656
