Chrom	Start	End	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr16	18811746	18813013	Promoter (<=1kb)	16	18780447	18811972	31526	2	ENSMUST00000000028	0	ENSMUSG00000000028	ENSMUSG00000000028
chr13	5861492	5863827	Promoter (<=1kb)	13	5861489	5870393	8905	1	ENSMUST00000000080	4	ENSMUSG00000000078	ENSMUSG00000000078
chr5	140704294	140704778	Promoter (<=1kb)	5	140705011	140719379	14369	1	ENSMUST00000041588	-233	ENSMUSG00000000148	ENSMUSG00000000148
chr6	126994000	126994749	Distal Intergenic	6	127015542	127024718	9177	1	ENSMUST00000000187	-20793	ENSMUSG00000000183	ENSMUSG00000000183
chr2	38338779	38343471	Promoter (<=1kb)	2	38339281	38369199	29919	1	ENSMUST00000143783	0	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38346754	38348187	Promoter (2-3kb)	2	38350759	38369733	18975	1	ENSMUST00000000253	-2572	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38349049	38350817	Promoter (<=1kb)	2	38350759	38369733	18975	1	ENSMUST00000000253	0	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38351946	38353542	Promoter (<=1kb)	2	38352532	38354573	2042	1	ENSMUST00000155964	0	ENSMUSG00000000247	ENSMUSG00000000247
chr2	38356536	38358299	Promoter (2-3kb)	2	38353802	38360089	6288	1	ENSMUST00000175896	2735	ENSMUSG00000000247	ENSMUSG00000000247
chr11	74829785	74832178	Promoter (<=1kb)	11	74830920	74845725	14806	1	ENSMUST00000000291	0	ENSMUSG00000000282	ENSMUSG00000000282
chr11	74832478	74833446	Promoter (1-2kb)	11	74830920	74845725	14806	1	ENSMUST00000000291	1559	ENSMUSG00000000282	ENSMUSG00000000282
chr15	100615377	100615797	Promoter (<=1kb)	15	100615628	100620731	5104	1	ENSMUST00000000356	0	ENSMUSG00000000346	ENSMUSG00000000346
chr10	78244791	78245088	Promoter (<=1kb)	10	78186725	78244642	57918	2	ENSMUST00000000384	-150	ENSMUSG00000000374	ENSMUSG00000000374
chr6	115674810	115676533	Promoter (<=1kb)	6	115618569	115675964	57396	2	ENSMUST00000112949	0	ENSMUSG00000000441	ENSMUSG00000000441
chr5	71092639	71097910	Promoter (<=1kb)	5	70961057	71095849	134793	2	ENSMUST00000000572	0	ENSMUSG00000000560	ENSMUSG00000000560
chr5	71246963	71248714	Distal Intergenic	5	70961057	71095849	134793	2	ENSMUST00000000572	-151115	ENSMUSG00000000560	ENSMUSG00000000560
chr3	105959548	105960078	Promoter (<=1kb)	3	105942698	105960099	17402	2	ENSMUST00000118209	21	ENSMUSG00000000563	ENSMUSG00000000563
chr5	99978032	99978938	Promoter (<=1kb)	5	99958426	99978938	20513	2	ENSMUST00000172361	0	ENSMUSG00000000568	ENSMUSG00000000568
chr7	7298193	7299543	Promoter (<=1kb)	7	7282316	7299511	17196	2	ENSMUST00000000619	0	ENSMUSG00000000605	ENSMUSG00000000605
chr6	82926361	82926606	Intron (ENSMUST00000000641/ENSMUSG00000000627, intron 5 of 13)	6	82914084	82917586	3503	2	ENSMUST00000125579	-8776	ENSMUSG00000000627	ENSMUSG00000000627
chr8	123146678	123147217	Intron (ENSMUST00000127664/ENSMUSG00000092329, intron 1 of 15)	8	123148120	123158228	10109	2	ENSMUST00000146007	11011	ENSMUSG00000000739	ENSMUSG00000000739
chr11	24079318	24084779	Promoter (<=1kb)	11	24080670	24173558	92889	1	ENSMUST00000118955	0	ENSMUSG00000000861	ENSMUSG00000000861
