# GimmeMotifs version 0.16.1
# Input: /home/ia1014/gimmemotifs/output/shared_denovo/generated_background.gc.fa
# Motifs: /home/ia1014/gimmemotifs/output/shared_denovo/combined.pfm
# Scoring: GC frequency normalized z-score
	GimmeMotifs_1	GimmeMotifs_2	GimmeMotifs_3	GimmeMotifs_4	GimmeMotifs_5	GimmeMotifs_6	GimmeMotifs_7	GimmeMotifs_8	GimmeMotifs_9	GimmeMotifs_10	GimmeMotifs_11	GimmeMotifs_12	GimmeMotifs_13	GimmeMotifs_14	GimmeMotifs_15	GimmeMotifs_16	GimmeMotifs_17	GimmeMotifs_18	GimmeMotifs_19
chr5:17602700-17602900	0.789455	-0.419867	-1.173979	-1.919510	-1.648905	0.334237	-0.225371	0.289224	-1.545745	2.085563	0.598108	-0.534604	-0.431279	-0.672414	-1.789831	-0.215458	-0.205310	0.432027	-0.496118
chr12:14074700-14074900	0.501341	-0.225688	-1.173979	-1.271077	-1.435971	0.210681	-0.415823	-1.064921	0.383365	0.989599	-1.049087	-0.199691	-0.431279	-0.528150	-0.258863	-0.215458	-1.124288	-0.469661	0.224252
chr19:52462500-52462700	0.368129	-0.238204	0.185402	1.844463	1.128929	0.472083	-0.124208	-1.171495	0.591060	0.549701	2.561269	-0.169645	-0.431683	-0.672414	0.386240	-1.624389	-0.960895	-0.550164	0.301236
chr3:28303800-28304000	0.694462	0.571556	0.119501	0.465857	-0.448451	0.374044	-1.328865	0.661549	1.023903	0.549701	1.300668	-0.295387	0.854374	0.579600	1.452110	0.088634	-0.707160	0.214580	0.644347
chr5:56624800-56625000	1.084694	1.677348	1.228129	-0.162327	0.698910	-0.082881	-0.848202	-0.259287	-0.655271	-0.270839	1.108361	-0.173631	-0.644468	0.579600	-0.317036	-1.540379	2.205982	0.583794	-0.407270
chr15:53775200-53775400	2.215243	-0.511361	0.185402	0.381239	1.375362	-0.403003	1.430584	0.234999	0.566258	-1.366803	0.624180	0.234194	-0.431279	0.579600	-0.752808	-0.215458	0.446526	-1.337661	-0.234986
chr6:141649300-141649500	2.170962	-1.282520	2.838263	1.462335	1.089028	1.895908	-0.875716	-0.549851	0.038454	-0.270839	2.433393	-0.009582	-0.218494	1.975878	-0.934323	1.801657	1.553453	-0.293395	0.108327
chr8:52369700-52369900	0.662641	0.145870	0.024921	2.266144	-0.058451	-1.294300	1.116189	-1.463939	0.205221	-0.482408	-1.536336	2.270659	0.672316	2.806307	-0.378115	0.121408	0.044818	-1.638793	-1.180808
chr6:59153300-59153500	-0.216075	0.118170	-1.266615	-0.046878	-1.268730	0.128714	-1.432105	0.424944	-0.053289	0.124980	-1.058158	-1.187997	-0.202188	0.411431	-0.923723	-1.607119	0.118530	0.370351	-0.680882
chr4:13455800-13456000	-1.005269	0.638797	-0.297951	0.576823	-1.811475	-0.249866	0.086012	0.917713	0.222954	-1.371769	0.472240	0.155450	0.672316	-0.786007	0.596202	0.121408	0.054528	-1.099810	-0.130401
chr13:82701000-82701200	0.400254	-1.147433	0.024921	1.843103	-0.630589	0.550057	-0.503970	-0.988501	-1.044663	-0.061471	-1.440834	0.475140	0.845759	1.608869	0.962151	0.036637	-0.722267	0.039900	0.490303
chr1:60268700-60268900	-1.079992	-0.825076	0.024921	-0.995815	-0.133906	1.550685	-1.934794	-1.615780	-1.044663	-0.276014	0.345949	1.066439	-0.028744	0.411431	0.748587	1.458320	2.522792	-1.770560	-0.642218
chrX:87674500-87674700	0.726451	0.516499	1.088127	1.268843	-0.593771	-0.518744	-0.834457	-0.468816	2.482666	-0.085280	0.612869	-0.619263	-2.227507	-0.648032	-1.146944	1.458320	0.999736	-0.323887	-0.518668
chr16:16805500-16805700	1.326193	-0.232969	-1.199419	0.155424	0.373821	-1.428786	0.042687	0.519464	0.053459	0.399614	-1.312295	1.145298	0.845759	0.411431	-1.402296	0.036637	-0.485278	0.131813	-1.111743
chr14:106806000-106806200	-1.475176	0.514335	-0.042275	-1.125135	0.093720	2.262568	-1.711878	2.072720	-0.122892	0.872473	0.612869	0.244966	0.672316	0.411431	2.546713	0.036637	-0.643050	2.349489	1.276503
chr6:110658100-110658300	1.025141	0.693013	0.186659	0.090027	1.411731	0.836809	1.870311	-0.737301	0.432474	-0.010042	0.438975	-0.789383	-0.375960	0.411431	0.590496	0.036637	1.068322	-0.974661	-1.313245
chr1:94122500-94122700	-0.034260	-0.340540	-1.361157	0.717361	-0.471673	-0.729679	-0.561194	-2.129963	1.374332	1.108041	0.298345	-0.158549	0.672316	-0.648032	-0.883882	1.458320	0.326694	-0.837761	-0.520459
chr11:22220000-22220200	-1.019535	0.718873	-1.199419	0.908332	0.507585	-0.918889	-0.405604	-0.494762	-0.126326	-0.191467	0.612869	-1.985570	0.845759	0.411431	-0.036141	0.121408	0.066123	-0.655124	0.932776
chrX:62882900-62883100	0.550999	-0.317595	-0.297951	-0.405415	0.022315	-0.572679	0.118529	0.017644	-0.760789	-0.305700	0.612869	-0.133038	0.672316	0.411431	-1.250883	0.036637	-0.791851	-1.618193	-0.297564
chr10:33342300-33342500	0.390882	-0.819273	1.088127	-0.843711	-0.910972	-0.010693	0.053212	0.036220	1.274056	-1.517301	-1.344457	1.018197	0.672316	1.608869	-0.375096	0.121408	-0.237313	-0.563211	-0.168606
chr7:47701900-47702100	0.809518	-0.921760	2.729882	-0.794970	0.030133	1.984049	-1.586146	0.914497	-0.437353	-0.340536	-1.154535	0.432617	0.845759	-0.648032	-0.889821	0.036637	1.253240	-0.915308	0.680997
chr12:43135700-43135900	-0.890761	-0.044080	-0.042275	0.103045	-1.577858	-0.508801	-0.629219	-0.907594	-0.334461	0.286110	-1.440834	-0.079661	0.845759	2.944282	-1.527521	0.036637	-1.046161	-0.388015	0.375499
chr2:22896500-22896700	1.048540	-0.319438	0.024921	0.037373	0.079766	-0.390275	0.734692	0.795034	2.482666	-0.070133	0.693805	-0.423309	0.845759	1.608869	0.192158	-1.607119	-0.667700	-0.091653	0.397909
chr8:102028000-102028200	-0.332460	1.061167	0.024921	-1.186589	-1.055588	-0.681664	1.682774	-0.860543	-0.584755	-0.601123	0.472240	1.438041	0.845759	-0.786007	0.178504	-1.607119	-1.607406	0.932845	0.830700
chrY:20821800-20822000	-0.846208	0.521815	0.024921	-0.420227	0.824110	-0.873964	-0.662462	0.424944	-0.476008	0.103956	0.345949	1.714076	-0.202517	1.746844	-0.654332	0.036637	1.743734	-0.923340	2.290319
chr8:127407600-127407800	-0.673779	2.726698	1.088127	-0.856581	-0.124090	-0.096616	-0.146967	-1.386277	1.409064	0.339523	-1.251432	-1.284179	-1.424236	-0.648032	1.115941	-1.607119	0.331483	-1.638793	0.143184
chr3:7711300-7711500	-0.783023	-0.657431	1.228129	1.913835	-0.981285	-0.330649	1.590772	0.890151	-0.015020	-0.356947	0.624180	1.207137	0.641588	-0.672414	-0.985058	-1.540379	0.078435	-0.887494	-0.561273
chr5:6462400-6462600	-0.185925	0.463644	1.088127	-1.837322	-1.002692	1.381187	1.339203	0.140626	1.125675	-0.070133	2.666573	0.847630	0.845759	1.608869	0.042767	-1.607119	0.060372	1.974687	-0.627302
chr2:34442700-34442900	-0.398242	-1.486895	-0.042275	0.213835	-0.837485	0.655129	-0.493223	-0.174435	0.563106	0.698384	-1.488437	0.727775	-0.375960	-0.786007	-1.346836	-1.607119	-1.661632	0.780811	0.474949
chr18:87719800-87720000	-0.542116	-0.117712	-0.042275	0.689187	0.643763	-2.197985	-0.557618	0.563208	0.432474	-0.482408	0.600779	2.008779	0.672316	0.411431	1.275025	0.121408	0.318998	0.403687	0.948485
